lat,lon,Solar_farm_present,State,panel.area,power,panels,landscape.area,water,urban,Address,slope,land_cover,elevation,solrad_annual,ac_monthly,poa_monthly,solrad_monthly,dc_monthly,ac_annual,demand_5km_MWh,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh
37.77817968533472,-119.12185238682216,,CA,,,,,,,,21.0,,2237.0,6.240572596271515,"[132408.5091308344, 117184.6326224207, 155307.4655572991, 144542.0647222504, 172333.7410166233, 152873.9598067488, 164096.897440078, 168294.4851717071, 161355.8122963383, 163908.9807640549, 134694.1163133693, 107789.4098882144]","[159.4235570508903, 145.681316667692, 199.2209953401649, 185.4770926642977, 222.2342039689614, 204.3184182303365, 221.4785713914242, 224.8140830210351, 214.6650308285635, 207.7389966713361, 165.9948161539371, 129.1553660616836]","[5.142695388738398, 5.202904166703286, 6.426483720650481, 6.182569755476591, 7.168845289321334, 6.810613941011216, 7.144470044884653, 7.252067194226941, 7.155501027618783, 6.701257957139874, 5.533160538464571, 4.166302131022052]","[139519.3277855575, 124813.7229526177, 167098.6457807538, 152314.399382953, 180463.6984573998, 160215.736636223, 171907.2880251149, 176189.6767630506, 168759.6824827128, 172101.6125190945, 141636.4826473586, 114184.346856948]",1774790.074729928,0.0,0.0,0.0,0.0
32.655001708176606,-116.33899253049724,,CA,,,,,,,,5.0,1.0,1124.0,6.503429471873563,"[147741.6242626622, 127554.3635372041, 163138.9125423273, 152016.0550738837, 156144.714444711, 149215.0263048203, 145100.8065652979, 152637.3946564015, 162104.5094318021, 167618.8481267884, 142317.2795212047, 140925.8507392649]","[183.8574197749292, 161.1723098121707, 212.1608007217448, 200.8208638708818, 207.8805313313491, 204.0622589436242, 200.2641216480032, 211.5782859301744, 219.9030439656347, 216.9651186501929, 182.4102436289433, 174.0257564800916]","[5.930884508868683, 5.756153921863239, 6.843896797475639, 6.69402879569606, 6.705823591333841, 6.802075298120807, 6.4601329563872, 6.825105997747561, 7.330101465521155, 6.998874795167512, 6.080341454298109, 5.613734080002954]","[155077.3297642303, 133575.0429311819, 171087.0883875785, 159242.6190639478, 163587.1914287376, 156422.3897728123, 152211.3179830524, 159925.2802740342, 169513.9287840042, 175338.8011285368, 148913.8965698168, 147653.8286588222]",1806515.385206362,0.0,0.0,0.0,0.0
34.27799320475723,-116.70572599993542,,CA,,,,,,,,22.0,1.0,2035.0,6.769052801519461,"[154140.2821755202, 145708.5554904125, 181277.726180457, 175137.2080956825, 166672.3682426833, 154937.0860064718, 138538.4868818857, 149753.4372563258, 163485.8230752394, 178856.2378959375, 154267.6811191129, 152028.9095275354]","[188.4848176602681, 182.040498880228, 232.2532105145409, 224.0831940678813, 219.1258613198422, 208.8166971889146, 191.6034975733627, 203.5246990867147, 216.3107089455432, 231.5192048342268, 190.4556369003445, 182.3764014575441]","[6.080155408395745, 6.501446388579571, 7.492039048856159, 7.469439802262711, 7.068576171607813, 6.96055657296382, 6.180757986237507, 6.565312873764989, 7.210356964851441, 7.468361446265381, 6.348521230011483, 5.883109724436907]","[162524.5804860306, 154529.6094980866, 190881.7412209946, 183915.791951644, 174533.3663049905, 162354.6531523103, 145411.1688898163, 156947.5139889303, 171218.5957506014, 187199.1342087277, 161803.1644688667, 159726.9234643559]",1914803.801947259,0.0,0.0,142433.0,142433.0
35.76410590042141,-117.28818503963132,,CA,,,,,,,,1.0,1.0,510.0,6.660562593275531,"[133937.2052396185, 136363.1430978359, 170816.401296097, 163490.529200606, 165674.8531811616, 154938.5065077253, 155986.645339793, 161875.0709771746, 161723.8453044857, 167407.4326487622, 138485.4055671854, 129317.6668757697]","[166.4131230123413, 172.0385375922015, 221.5197346927703, 215.9456997458851, 223.0088208030355, 216.022668348308, 218.548950078041, 225.4723866882038, 218.299693565845, 220.8676148069535, 175.2590537817195, 158.3827306121606]","[5.368165258462621, 6.14423348543577, 7.14579789331517, 7.198189991529503, 7.193832929130176, 7.200755611610266, 7.04996613154971, 7.273302796393669, 7.276656452194833, 7.124761767966242, 5.841968459390649, 5.109120342327762]","[140220.912759935, 143184.8068417027, 178931.2441611992, 171048.6683596997, 173515.2431290993, 162356.1258366244, 163497.1696414718, 169524.2424362108, 169133.1843689406, 174961.1528880613, 144825.8334322021, 135250.3336513651]",1840016.705236217,0.0,0.0,0.0,0.0
33.632707429008306,-117.11560458342514,,CA,,,,,,,,14.0,1.0,471.0,6.219894943848717,"[124106.5564868309, 121716.4438476511, 147206.7885694483, 146035.5073511254, 144324.098682474, 144827.4948093698, 142996.924302706, 158617.0430034211, 153887.2915476887, 153575.0538544701, 132859.4514393965, 122930.3730065647]","[160.0454948259602, 157.2265159560293, 194.7227406704815, 195.141294742369, 195.0308896595958, 199.8509767027475, 198.768081331356, 221.0177913343788, 211.9157671006265, 206.7886991351339, 173.9924165849479, 156.4245377589276]","[5.162757897611621, 5.615232712715331, 6.281378731305854, 6.504709824745633, 6.291319021277283, 6.661699223424915, 6.411873591334063, 7.129606172076737, 7.063858903354218, 6.670603197907546, 5.799747219498262, 5.045952830933149]","[129937.1375264985, 127366.1942871843, 154143.4604651257, 152945.6923767724, 151366.6010983404, 151873.6793828553, 150030.8343914908, 166130.7710757291, 161001.2708702587, 160615.491603256, 139025.9988143904, 128715.157693308]",1693083.026901142,0.0,0.0,0.0,2503588.0
34.74729195075645,-115.67024326269824,,CA,,,,,,,,4.0,1.0,1087.0,6.677000377093777,"[134226.3836261612, 140094.5463981064, 170446.2138365335, 168762.8643560217, 163992.9651231052, 155507.4414884352, 151768.1183439947, 157949.4835989988, 166156.4741156424, 171720.647294842, 147526.084130778, 134692.7141012297]","[164.9829709880112, 175.0131230498977, 218.9843728477085, 219.7302816433622, 221.3908280737002, 213.3508639208913, 210.0456064484163, 218.749564922091, 222.9044650816565, 225.4579047591062, 183.7388788490373, 162.7530573374484]","[5.322031322193911, 6.250468680353488, 7.064012027345435, 7.324342721445405, 7.141639615280651, 7.11169546402971, 6.775664724142461, 7.056437578131969, 7.430148836055218, 7.272835637390522, 6.124629294967908, 5.250098623788657]","[141037.0627491106, 147084.7463915946, 178896.9975658865, 176584.0861469976, 171736.8095790776, 162993.1931572403, 159118.0410034616, 165430.5161452939, 173792.7077365948, 179538.0910812038, 154343.7128671172, 141035.9624419551]",1862843.936413847,0.0,0.0,0.0,0.0
41.92365194166113,-121.66741411586356,,CA,,,,,,,,1.0,1.0,1243.0,5.632448846282235,"[98505.39758309958, 102447.6375692082, 137372.0454305439, 152445.7613053392, 152215.7420768562, 154568.1583130251, 161390.4456768499, 168643.9438037165, 152434.14893627, 134857.8694977783, 92059.12613725335, 83280.78006288799]","[117.9040573579753, 124.1112380754127, 171.5304235759704, 194.9965084859636, 199.3259659436177, 208.3000249471843, 223.6274046147922, 229.6733825681864, 203.9953229503142, 173.1480498766514, 112.0665951979924, 99.31574951927857]","[3.803356688966947, 4.432544216979024, 5.533239470192594, 6.499883616198787, 6.429869869148957, 6.943334164906144, 7.213787245638459, 7.408818792522143, 6.799844098343807, 5.585420963762949, 3.735553173266414, 3.203733855460599]","[103358.4720751088, 107724.1119962525, 144260.4604676757, 159722.039777813, 159602.042985778, 162042.2346966933, 169144.4793776699, 176570.1284278523, 159514.8688038398, 141162.3142191597, 96612.8160041546, 87390.34129229111]",1590221.056392828,0.0,0.0,0.0,0.0
38.42346546108364,-121.9694299142244,,CA,,,,,,,,5.0,1.0,56.0,5.857816964887527,"[94198.16261384531, 113016.8860900272, 129491.0967710864, 144871.8540954567, 153849.7618797592, 150487.9547101979, 164918.0237276268, 168103.4115522373, 160733.4825674204, 149376.0042491579, 109373.9665354476, 95003.43430168848]","[114.1872579268616, 140.7620305343332, 164.119949506175, 187.9838533081256, 205.9192432681454, 204.7135091070414, 225.4112452318472, 229.9421048282662, 219.5919659918717, 193.8284300155824, 136.2845177223493, 116.3296958312362]","[3.683459933124569, 5.027215376226186, 5.294191919554032, 6.266128443604186, 6.642556234456302, 6.823783636901379, 7.27133049134991, 7.417487252524716, 7.319732199729058, 6.252530000502659, 4.542817257411643, 3.752570833265684]","[98821.57696006956, 118522.1739384812, 135823.8146691546, 151771.5208524127, 161284.9137822533, 157742.0800517802, 172759.7756079439, 175982.4386565028, 168114.7909300507, 156359.8957341908, 114610.3980054534, 99739.4096328663]",1633424.039093946,0.0,0.0,0.0,10622383.0
37.05467745191926,-120.41620580836864,,CA,,,,,,,,0.0,1.0,49.0,5.944831095486264,"[86625.49503197623, 105447.857999212, 145524.9659295123, 151782.2906457448, 156879.2683598971, 159347.4089324228, 158660.2623166798, 160748.7719037546, 161989.4838780973, 151088.6734224754, 117425.5688980671, 90967.32200350154]","[107.3539656468617, 133.4769503862766, 186.4845370475923, 198.4815872810316, 208.8650463281987, 213.9898166704345, 219.5793185813042, 222.9012859412946, 219.5687674938791, 198.7885841689863, 149.1906463529731, 112.4545325350125]","[3.463031149898764, 4.76703394236702, 6.015630227341686, 6.616052909367721, 6.737582139619314, 7.132993889014484, 7.083203825203362, 7.190364062622406, 7.318958916462636, 6.412534973193107, 4.973021545099105, 3.627565565645565]","[91045.83549930376, 110528.1589634166, 152590.0666755955, 158924.9286145741, 164417.2465656284, 166926.9922311613, 166270.573153331, 168344.0928364917, 169416.4973473359, 158095.1459332012, 122961.8533197069, 95550.0545973202]",1646487.369321339,0.0,0.0,0.0,535678.0
40.82862153432962,-120.07104489595623,,CA,,,,,,,,4.0,1.0,1691.0,5.827126939528057,"[94307.65891754933, 101903.7854530589, 144516.3891210061, 153115.4469866647, 161249.987266544, 156811.312345838, 164857.2372124016, 170258.6975039215, 168069.7668819484, 151265.7442387166, 110536.2282546644, 92010.15135211505]","[111.7858982756945, 123.5388810843888, 177.5813055834961, 194.4133835163298, 208.6428221835339, 209.2295267490883, 224.9170550808401, 229.0510560140202, 221.082771330988, 189.1869519427277, 131.8372714221615, 107.9692245329358]","[3.60599671857079, 4.412102895871028, 5.728429212370842, 6.480446117210992, 6.730413618823673, 6.974317558302944, 7.255388873575488, 7.38874374238775, 7.369425711032934, 6.102804901378311, 4.394575714072051, 3.482878210739863]","[99281.46711557091, 109019.2532003272, 152652.3496531023, 161380.0173668524, 168980.6436915263, 164293.8682348028, 172696.7560595571, 178249.9826353669, 175802.2680329901, 158824.9975734399, 115950.3690067038, 96837.97717861598]",1668902.405534425,0.0,0.0,0.0,0.0
