,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
4211,-120.955519734013,35.25569892558893,1.0,142230.0,76.7522,76.7522,Santa Maria,"(34.9333, -120.4431)",[76.7522],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4212,-124.27769351598228,40.69174273341319,1.0,121498.0,265.6633,265.6633,Redding,"(40.5698, -122.365)",[265.6633],[121498],['Redding'],"[(40.5698, -122.365)]",
4213,-120.35148813729133,33.98468148850772,1.0,142230.0,85.12910000000001,85.12910000000001,Santa Maria,"(34.9333, -120.4431)",[85.12910000000001],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4214,-122.8323321952554,37.93461260066779,1.0,115677.0,63.2046,63.2046,Richmond,"(37.9477, -122.3389)",[63.2046],[115677],['Richmond'],"[(37.9477, -122.3389)]",
4215,-118.04322453553344,33.67181565784158,1.0,198735.0,4.4064,4.4064,Huntington Beach,"(33.696, -118.0018)",[4.4064],[198735],['Huntington Beach'],"[(33.696, -118.0018)]",
4216,-120.91237461996144,35.333915383255466,1.0,142230.0,70.1318,70.1318,Santa Maria,"(34.9333, -120.4431)",[70.1318],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4217,-123.78152470438948,39.30340060983217,1.0,314196.0,159.77120000000002,159.77120000000002,Santa Rosa,"(38.4458, -122.7067)",[159.77120000000002],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
4218,-122.27144571258526,40.82862153432962,1.0,121498.0,44.5629,44.5629,Redding,"(40.5698, -122.365)",[44.5629],[121498],['Redding'],"[(40.5698, -122.365)]",
4219,-122.37930849771412,40.76995919107972,1.0,121498.0,29.0566,29.0566,Redding,"(40.5698, -122.365)",[29.0566],[121498],['Redding'],"[(40.5698, -122.365)]",
4220,-121.3006806464254,35.62722709950498,1.0,199290.0,227.603,227.603,Salinas,"(36.6883, -121.6317)",[227.603],[199290],['Salinas'],"[(36.6883, -121.6317)]",
4221,-121.90471224314707,39.30340060983217,1.0,129536.0,40.4236,40.4236,Yuba City,"(39.1357, -121.6383)",[40.4236],[129536],['Yuba City'],"[(39.1357, -121.6383)]",
4222,-124.4287014151627,40.53530981808011,1.0,121498.0,291.8079,291.8079,Redding,"(40.5698, -122.365)",[291.8079],[121498],['Redding'],"[(40.5698, -122.365)]",
4223,-120.00632722487892,33.92601914525782,1.0,198240.0,18.407400000000003,18.407400000000003,Santa Barbara,"(34.4285, -119.7202)",[18.407400000000003],[198240],['Santa Barbara'],"[(34.4285, -119.7202)]",
4224,-121.60269644478625,36.018309387837654,1.0,199290.0,137.4532,137.4532,Salinas,"(36.6883, -121.6317)",[137.4532],[199290],['Salinas'],"[(36.6883, -121.6317)]",
4225,-121.49483365965736,35.959647044587754,1.0,199290.0,270.8368,270.8368,Salinas,"(36.6883, -121.6317)",[270.8368],[199290],['Salinas'],"[(36.6883, -121.6317)]",
4226,-123.9972502746472,40.96550033524606,1.0,121498.0,231.75560000000002,231.75560000000002,Redding,"(40.5698, -122.365)",[231.75560000000002],[121498],['Redding'],"[(40.5698, -122.365)]",
4227,-122.09886525637906,39.42072529633197,1.0,112132.0,62.831199999999995,62.831199999999995,Chico,"(39.7578, -121.8161)",[62.831199999999995],[112132],['Chico'],"[(39.7578, -121.8161)]",
4228,-120.26519790918825,37.60219265558501,1.0,157617.0,57.1977,57.1977,Merced,"(37.3057, -120.4779)",[57.1977],[157617],['Merced'],"[(37.3057, -120.4779)]",
4229,-122.35773594068836,38.18881608808403,2.0,268012.0,19.5201,38.003699999999995,Vallejo,"(38.1125, -122.2342)","[19.5201, 38.003699999999995]","[181882, 86130]","['Vallejo', 'Napa']","[(38.1125, -122.2342), (38.2975, -122.301)]",
4230,-118.64725613225514,33.02652988209265,0.0,,,,,,[],[],[],[],0.0
4231,-123.9325326035699,39.89002404233119,1.0,121498.0,394.34929999999997,394.34929999999997,Redding,"(40.5698, -122.365)",[394.34929999999997],[121498],['Redding'],"[(40.5698, -122.365)]",
4232,-115.97225906105908,33.35894982717543,1.0,361831.0,58.7962,58.7962,Indio,"(33.7346, -116.2346)",[58.7962],[361831],['Indio'],"[(33.7346, -116.2346)]",
4233,-114.63476052546106,33.02652988209265,1.0,110434.0,122.7315,122.7315,El Centro,"(32.7865, -115.5595)",[122.7315],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4234,-115.60552559162092,33.24162514067563,1.0,110434.0,60.096,60.096,El Centro,"(32.7865, -115.5595)",[60.096],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4235,-120.67507649267796,35.021049552589325,1.0,142230.0,25.8383,25.8383,Santa Maria,"(34.9333, -120.4431)",[25.8383],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4236,-120.89080206293568,37.2502185960856,1.0,103359.0,38.645,38.645,Turlock,"(37.5053, -120.8588)",[38.645],[103359],['Turlock'],"[(37.5053, -120.8588)]",
4237,-121.71055922991512,36.13563407433746,1.0,116189.0,75.2302,75.2302,Seaside,"(36.6224, -121.8199)",[75.2302],[116189],['Seaside'],"[(36.6224, -121.8199)]",
4238,-124.16983073085342,40.82862153432962,1.0,121498.0,239.60170000000002,239.60170000000002,Redding,"(40.5698, -122.365)",[239.60170000000002],[121498],['Redding'],"[(40.5698, -122.365)]",
4239,-122.44402616879144,38.13015374483413,1.0,181882.0,22.610599999999998,22.610599999999998,Vallejo,"(38.1125, -122.2342)",[22.610599999999998],[181882],['Vallejo'],"[(38.1125, -122.2342)]",
4240,-119.98475466785315,34.02378971734099,1.0,198240.0,18.407400000000003,18.407400000000003,Santa Barbara,"(34.4285, -119.7202)",[18.407400000000003],[198240],['Santa Barbara'],"[(34.4285, -119.7202)]",
4241,-118.60411101820358,32.92875931000948,0.0,,,,,,[],[],[],[],0.0
4242,-121.58112388776048,37.83684202858462,2.0,186425.0,21.5992,32.8135,Tracy,"(37.7269, -121.4523)","[21.5992, 32.8135]","[98022, 88403]","['Tracy', 'Livermore']","[(37.7269, -121.4523), (37.6868, -121.7607)]",
4243,-122.5734615109461,40.633080390163286,1.0,121498.0,21.7013,21.7013,Redding,"(40.5698, -122.365)",[21.7013],[121498],['Redding'],"[(40.5698, -122.365)]",
4244,-115.79967860485289,33.18296279742572,1.0,110434.0,60.9938,60.9938,El Centro,"(32.7865, -115.5595)",[60.9938],[110434],['El Centro'],"[(32.7865, -115.5595)]",
4245,-121.40854343155428,38.1105996304175,1.0,406822.0,20.6345,20.6345,Stockton,"(37.9765, -121.3109)",[20.6345],[406822],['Stockton'],"[(37.9765, -121.3109)]",
4246,-123.04805776551314,38.32569488900047,1.0,314196.0,36.817800000000005,36.817800000000005,Santa Rosa,"(38.4458, -122.7067)",[36.817800000000005],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
4247,-122.85390475228115,37.954166715084426,1.0,115677.0,69.1305,69.1305,Richmond,"(37.9477, -122.3389)",[69.1305],[115677],['Richmond'],"[(37.9477, -122.3389)]",
