Latitude,Longitude,Solar_farm_present,State
41.09447848387295,-123.70896246712095,,CA
41.19303912118507,-123.70896246712095,,CA
41.2915997584972,-123.70896246712095,,CA
41.390160395809325,-123.70896246712095,,CA
41.48872103312145,-123.70896246712095,,CA
41.58728167043357,-123.70896246712095,,CA
41.6858423077457,-123.70896246712095,,CA
41.78440294505782,-123.70896246712095,,CA
41.882963582369946,-123.70896246712095,,CA
41.98152421968207,-123.70896246712095,,CA
38.82758382569408,-123.6002280635264,,CA
38.926144463006196,-123.6002280635264,,CA
39.02470510031832,-123.6002280635264,,CA
39.12326573763045,-123.6002280635264,,CA
39.22182637494257,-123.6002280635264,,CA
39.3203870122547,-123.6002280635264,,CA
39.418947649566825,-123.6002280635264,,CA
39.51750828687895,-123.6002280635264,,CA
39.616068924191076,-123.6002280635264,,CA
