ac_monthly,poa_monthly,solrad_monthly,dc_monthly,ac_annual,solrad_annual,capacity_factor,latitude,longitude
"[84747.64691037907, 98656.47892511639, 142075.5816954241, 147469.0190622461, 156680.9242505796, 158171.6228220008, 159968.0367677972, 163907.0401004888, 152413.7280037429, 148028.9455705434, 108865.2847894428, 101613.7364967082]","[105.3113125689324, 125.7682756718402, 182.4969043298213, 192.9950850495279, 208.2176842661684, 215.7758561212497, 221.8651949860027, 225.6310071450865, 207.4140424074499, 194.9380959072161, 138.8888933744007, 126.2029983654942]","[3.397139115126853, 4.491724131137149, 5.886996913865202, 6.433169501650929, 6.716699492457045, 7.192528537374988, 7.156941773742024, 7.278419585325372, 6.913801413581664, 6.288325674426324, 4.629629779146691, 4.071064463403038]","[89091.46179703223, 103476.9311673006, 148904.459954644, 154482.5066601547, 164216.3769611875, 165708.0128341155, 167627.9475771536, 171623.1825143351, 159492.0479111123, 154850.9600224852, 114083.1027195255, 106577.420434907]",1622598.045394474,5.871370031769774,18.52280873737979,37.79773379975135,-120.91237461996144
"[145082.1937870979, 146332.3138798708, 168580.0536626989, 164085.7458369874, 162377.1081154117, 147078.2959023855, 143240.9519977552, 154881.6993476522, 159054.2047938172, 166279.5373902753, 145963.1092626551, 141685.3287613254]","[183.8233358648806, 186.7103741001909, 222.162020636272, 215.6814133259892, 221.8882592118483, 205.8932212432454, 205.4513483565702, 220.3983826047208, 218.8053671881654, 222.2137216541713, 187.148720013543, 177.858704281792]","[5.929785027899376, 6.668227646435389, 7.166516794718452, 7.189380444199641, 7.157685781027364, 6.863107374774846, 6.62746285021194, 7.109625245313573, 7.293512239605514, 7.168184569489396, 6.2382906671181, 5.737377557477161]","[151691.0727606495, 152914.736856534, 176308.7033579013, 171671.9801189253, 170048.6312016803, 154207.1651545569, 150282.2730300274, 162247.0593607676, 166428.2608300787, 173789.1528826655, 152594.8967312832, 148145.1728481154]",1844640.54273793,6.762429683189229,21.05754044221386,33.124300454175824,-116.18798463131684
"[142914.5882101961, 143080.681792533, 171966.0860778306, 160471.1656790636, 164249.3949605057, 152635.9218769256, 153907.5265828266, 160671.4437403475, 160841.1898084704, 165016.1591703089, 150993.0670669578, 135459.9429936742]","[176.8055426360266, 180.4949027720222, 221.6295528268512, 211.4410092269917, 218.3338198383684, 208.774438605427, 214.3625016778877, 223.0044671864684, 219.7915957536092, 214.2549529712686, 190.0465653402365, 165.7464741203545]","[5.703404601162148, 6.44624652757222, 7.149340413769395, 7.048033640899724, 7.043026446398981, 6.959147953514234, 6.914919408964119, 7.193692489886077, 7.326386525120305, 6.911450095847374, 6.334885511341216, 5.346660455495305]","[149618.1444831951, 150231.031549814, 180231.9548715497, 168048.4261364001, 172051.6467842385, 159968.9542243558, 161338.7790043181, 168269.3359172614, 168224.9889768779, 172578.2596948447, 157832.9058554626, 141841.3494126387]",1862207.167959641,6.698099505830925,21.25807269360319,34.66907549308991,-118.04322453553344
"[84285.60062888614, 108296.660908425, 133752.7806570659, 148311.1059989912, 154272.4441477869, 154808.0399027167, 163478.6608936189, 165976.3043131692, 159640.1211546016, 149877.6483925214, 104145.3223352214, 87962.78880320533]","[103.9248264603947, 135.5805186117313, 170.9292565250264, 190.8424876723571, 206.0071447967246, 208.126647480742, 222.731389178186, 227.184968604403, 214.5330703524521, 195.4977986234915, 131.9785775677405, 107.7472818137868]","[3.352413756786925, 4.842161378990404, 5.513846984678271, 6.361416255745236, 6.645391767636278, 6.937554916024734, 7.184883521876967, 7.32854737433558, 7.151102345081735, 6.30638060075779, 4.399285918924685, 3.475718768186672]","[88553.2772681194, 113514.3494325375, 140161.8591370272, 155334.8630719305, 161714.0463599782, 162217.8138711118, 171267.5368206535, 173771.1197261903, 166983.9074319635, 156803.656609205, 109192.7281377268, 92392.06733291817]",1614807.478136204,5.791558632418773,18.43387532118957,38.42346546108364,-121.3006806464254
"[72223.9181718479, 105018.5398073933, 145292.6455044431, 151480.5006821217, 157766.8995423272, 158177.3868587989, 159074.7462358928, 161439.0465549716, 160682.7697238933, 148485.0356398435, 104398.2914926527, 91067.56624972129]","[89.80881885050957, 133.1719620748956, 186.0245396584395, 198.9133722229484, 210.235059656729, 213.4781974242053, 220.1938644235699, 223.4376817636198, 217.854801883538, 194.9507624076984, 133.388296164691, 112.469265825062]","[2.897058672597083, 4.756141502674842, 6.000791601885146, 6.630445740764945, 6.781776117959001, 7.115939914140177, 7.103027884631287, 7.207667153665155, 7.261826729451266, 6.288734271216076, 4.446276538823033, 3.628040833066516]","[76117.35071956318, 110080.5319916402, 152337.9213254135, 158664.4689971441, 165344.4733670099, 165713.9886166482, 166698.7268237816, 169059.4690447782, 168060.7492248802, 155324.1754556698, 109458.8345406184, 95656.95385221373]",1615107.34646391,5.843143913406212,18.43729847561535,36.95690687983609,-120.24362535216244
"[106215.5522347095, 108477.764355115, 135685.9473566067, 146813.4792973194, 149175.4732828448, 148860.0265120254, 156092.2278994989, 159446.9160876492, 148972.7290550363, 148055.3843643621, 117212.949757922, 106341.6993541913]","[131.5864041725126, 136.0843684526662, 173.2420054844729, 187.7416607373101, 194.4886280276982, 199.3514946077683, 210.1493183100342, 214.6229122268548, 202.1506605601627, 191.0168634902023, 148.9769281524589, 131.3742072214265]","[4.244722715242341, 4.86015601616665, 5.588451789821708, 6.258055357910338, 6.273826710570911, 6.645049820258943, 6.779010268065618, 6.923319749253381, 6.738355352005422, 6.161834306135557, 4.965897605081964, 4.237877652304082]","[111363.4947865251, 113683.2172954433, 142162.3851892091, 153781.1703115455, 156421.0783293467, 156054.3488259625, 163609.7582862057, 166991.8814615708, 155924.075687386, 154893.2423788169, 122745.553888403, 111501.1995874126]",1631350.149557285,5.806379778568076,18.62271860225201,36.62448693475331,-121.49483365965736
"[79551.15107443294, 103859.5037634846, 127029.6013219018, 144409.0308043286, 148627.3437913685, 151015.5698288399, 163652.3032837414, 162908.2131319355, 153581.5848821576, 140145.9245591658, 92460.51625207964, 77302.26434743032]","[99.28866726116289, 130.328785214451, 162.4410699312261, 186.2088828877647, 199.531269173529, 206.7014674451074, 227.9496031949356, 225.9483036904301, 210.9758279938494, 184.1810097717732, 117.9986864897453, 95.70335496175956]","[3.202860234231061, 4.654599471944677, 5.240034513910519, 6.20696276292549, 6.436492553984808, 6.890048914836914, 7.353213006288245, 7.288654957755809, 7.03252759979498, 5.941322895863651, 3.933289549658176, 3.087204998766437]","[83630.36304079126, 108937.1123142617, 133189.1529897841, 151290.0752409883, 155866.8887136975, 158286.6045840043, 171442.3059336224, 170603.1221437826, 160702.8067905271, 146661.1278202249, 97062.7294766886, 81293.6136077206]",1544543.00704087,5.605600954996731,17.63176948676792,39.47938763958187,-121.71055922991512
"[140627.2495070561, 141014.9189633203, 166614.5257461927, 166532.2803023874, 162347.3762774338, 156499.8413641806, 160349.1828651399, 163560.5931203534, 167113.7014117297, 171684.2342111964, 141645.2945803575, 131337.646890314]","[173.8960342349336, 176.6097576681327, 212.2793672722546, 219.5753799840625, 217.0860247493898, 215.2226662998785, 222.513117028839, 226.1507132288231, 224.0155065247225, 224.3353423486667, 177.4805432111343, 159.5699701550111]","[5.60954949144947, 6.307491345290454, 6.847721524911438, 7.319179332802082, 7.002774991915799, 7.174088876662615, 7.17784248480126, 7.295184297703972, 7.467183550824084, 7.236623946731183, 5.916018107037809, 5.147418392097132]","[147409.7737003883, 148200.6755302908, 174863.7212890699, 174357.3084517505, 170078.729940827, 163972.9025264051, 168018.0062850332, 171275.0147169431, 174807.0456478149, 179434.155275092, 148178.8418349031, 137533.6004845241]",1869326.845239657,6.708423028518943,21.33934754839794,35.62722709950498,-117.69806362312106
"[145740.6561639643, 147398.6246593697, 173759.8430522088, 161980.9801895707, 164886.091927362, 148117.7013156311, 144987.3612150353, 154024.3023555753, 154450.9737706333, 168797.8260147263, 148261.8862629466, 148122.4539533199]","[182.5011018805076, 185.1979022638693, 226.0854673963407, 216.6668491184685, 223.1746708730191, 206.78818295691, 205.2791419780573, 216.2449454282956, 213.7361804487343, 225.0870573596666, 189.0808462687636, 182.020547115011]","[5.887132318726053, 6.61421079513819, 7.293079593430345, 7.222228303948951, 7.199182931387712, 6.892939431896999, 6.621907805743783, 6.975643400912761, 7.124539348291142, 7.260872818053763, 6.302694875625453, 5.871630552097129]","[152382.0509621693, 154229.5773116009, 181896.244853294, 169545.9610784558, 172637.1002648523, 155280.9427401841, 152094.8876267906, 161345.6757507861, 161596.6410028304, 176422.9498688793, 154986.5310485734, 154769.2667078643]",1860528.700880341,6.772171847937689,21.23891211050615,33.945573259674454,-115.30350979326008
"[95514.53559444065, 115485.1802261525, 133638.214056702, 145835.1949256508, 153898.7347328714, 157095.3569139337, 163781.0784039678, 168516.9418223422, 157367.4699483742, 149899.6692353673, 102767.4094596665, 90567.32203481806]","[116.9498363820257, 145.7819444522522, 170.830897020208, 188.3799303979806, 203.9704587467973, 210.3449870051722, 221.5787597761627, 227.4564835534104, 211.6909126529508, 195.3218450405841, 130.2670729213106, 111.7930294824768]","[3.772575367162119, 5.206498016151866, 5.510674097426064, 6.279331013266019, 6.579692217638622, 7.011499566839074, 7.147701928263311, 7.337305921077753, 7.056363755098359, 6.300704678728519, 4.342235764043687, 3.606226757499252]","[100205.4786749694, 120939.1240858043, 140043.607265309, 152769.4052572919, 161324.710401528, 164592.2095804048, 171581.0638398567, 176401.0796323068, 164625.1732443832, 156829.7467163555, 107751.8089479437, 95140.05476876299]",1634367.107354288,5.845900756932888,18.65715875975215,37.91505848625116,-121.53797877370891
"[141908.8269978876, 132552.8299582982, 160689.0289554926, 156997.7450441904, 152377.0711776634, 145050.5180160496, 139848.8508890246, 148651.8508028245, 150167.4774439091, 162286.1396613189, 138755.538763056, 136339.7150555751]","[181.0229861240522, 168.1694246011785, 212.7452476214548, 210.7790922183633, 208.9825610887281, 203.0001597612743, 198.0458600606765, 209.8427175777554, 209.9826279746425, 218.6044011164572, 181.2966889923356, 170.677392754512]","[5.839451165292006, 6.006050878613517, 6.862749923272735, 7.02596974061211, 6.741372938346067, 6.766671992042478, 6.388576130989565, 6.769119921863076, 6.999420932488084, 7.051754874724426, 6.043222966411187, 5.505722346919743]","[148403.6352272196, 138749.5184119147, 168125.2668980334, 164326.0091394012, 159688.7619248565, 152104.8954957145, 146765.1751872651, 155793.3376927892, 157149.4952834709, 169649.0550258706, 145101.9938797321, 142533.10656949]",1765625.592765287,6.500006984297916,20.15554329640735,33.73047800109148,-116.31741997347147
"[134588.9013150921, 136826.6836629348, 166053.2116788977, 159142.4708628077, 163357.1943189913, 154789.5744047905, 156374.3615202276, 162709.6695782887, 168380.1739561289, 167597.2412894672, 145442.1510140239, 129727.6469846124]","[166.3692738610748, 170.2714247074409, 213.6627506099069, 207.0899129341347, 217.9387637580096, 210.6972976306057, 217.0012640456715, 226.7030774414827, 227.4429362730834, 216.4187525842434, 183.4352542673736, 158.0729659434684]","[5.36675076971209, 6.081122310980033, 6.892346793867965, 6.902997097804491, 7.030282701871277, 7.023243254353523, 7.000040775666823, 7.313002498112344, 7.581431209102781, 6.981250083362689, 6.114508475579121, 5.09912793366027]","[141211.6991314182, 143654.1559307001, 174211.2065137484, 166566.0182332543, 171137.9359983516, 162201.7226136004, 163898.0931517207, 170383.0115963189, 176109.1311395522, 175405.5244296467, 152064.4015312607, 135861.4232904391]",1844989.28058626,6.615508658672784,21.06152146787964,34.80595429400635,-118.51782079010049
"[87738.93128763362, 111733.8647896834, 153539.8655659843, 155522.7558163487, 161238.293042467, 156004.9812622612, 154851.3151750866, 159567.802511129, 160126.4687573097, 144341.1234987623, 120116.0003717033, 111222.4847380078]","[111.3702740452211, 141.8722800977943, 197.8607243998519, 205.1979462804831, 212.471333389621, 212.2561515154105, 216.2708206134765, 223.3035118904032, 218.7962131203517, 191.7653230315832, 152.930088844513, 136.9075111338723]","[3.592589485329712, 5.066867146349797, 6.382604012898447, 6.839931542682771, 6.853913980310354, 7.075205050513684, 6.976478084305693, 7.203339093238813, 7.293207104011723, 6.185978162309136, 5.097669628150433, 4.416371326899107]","[92211.44029829327, 117043.8098992189, 160914.4684608611, 162786.6707843302, 168936.3550116186, 163461.7782522513, 162323.2598055867, 167125.2809869497, 167488.1213380886, 151044.2486610933, 125755.4326714197, 116561.0884956414]",1676003.886816377,6.082012884749972,19.13246446137417,36.35072933292044,-120.02789978190472
"[144041.501403163, 142510.8141939976, 170281.2533528276, 164556.6562502109, 162414.6844068548, 145758.9409921445, 144652.4470034708, 150539.7999127131, 159475.657135389, 161500.5503117728, 146232.501473586, 140054.6944177861]","[180.0645061808185, 181.8925646791887, 221.8437480797986, 217.8449645255211, 220.4950755326565, 204.0152097593203, 203.3092887470721, 212.0142620080492, 218.1921717642359, 213.2437405643944, 187.0571465565297, 172.9912016540361]","[5.808532457445757, 6.49616302425674, 7.156249938058018, 7.26149881751737, 7.112744372021177, 6.800506991977343, 6.558364153131358, 6.839169742195136, 7.273072392141197, 6.878830340786916, 6.23523821855099, 5.580361343678585]","[150658.4641235421, 149306.758634409, 178208.3795488141, 172209.919011887, 170061.55469164, 152838.5857476024, 151741.8720095851, 157728.706438072, 166800.4827672174, 168833.2538755398, 152876.458969991, 146361.6333105572]",1832019.500853913,6.666727649313382,20.91346462162007,33.90646503084118,-114.82891353869304
"[140860.7621253543, 144226.9593710559, 169747.6648334549, 164859.5523820322, 159925.1182277422, 148955.3552268856, 146495.0461926339, 150950.6856801614, 150407.4125781323, 166304.6409712892, 145735.7892895683, 137416.6391916154]","[176.5103744514089, 182.4321555293297, 221.5569697286423, 218.7034380193949, 218.3575103951726, 208.5495816370116, 206.3788595284399, 212.7335219824346, 209.2644319257307, 219.098554021669, 184.9224027955593, 170.4046917120421]","[5.693883046819642, 6.515434126047488, 7.14699902350459, 7.290114600646498, 7.043790657908794, 6.951652721233718, 6.657382565433545, 6.862371676852729, 6.975481064191024, 7.067695291021582, 6.164080093185309, 5.496925539098131]","[147353.7716553002, 150964.0782704255, 177645.3239635905, 172500.6058749245, 167478.9110636859, 156150.9251654278, 153653.8952095656, 158149.9326665362, 157412.9781059129, 173843.3611221693, 152334.4809246371, 143621.8893751703]",1825885.626069929,6.655484200495255,20.84344321997633,33.73047800109148,-114.74262331058992
"[148692.2567138223, 147135.1862318504, 173566.6403119609, 166606.1457167063, 165319.6620139995, 151439.0441168474, 147820.9028877675, 154221.4908864639, 158084.4385845593, 167958.6191279471, 153987.1695541803, 137382.8157043653]","[184.5130196405316, 187.4445110874077, 224.7232558026864, 219.1974578417562, 224.5086209219147, 210.6966043802447, 206.6018123408216, 216.1834240831318, 217.3849412931118, 223.1039233551401, 195.1963073679711, 168.7143284308592]","[5.952032891630052, 6.694446824550276, 7.249137283957626, 7.306581928058539, 7.242213578126279, 7.023220146008156, 6.664574591639406, 6.973658841391348, 7.246164709770393, 7.196900753391615, 6.50654357893237, 5.442397691318039]","[155500.3347780229, 154480.4327663706, 181708.8378556749, 174320.6057497899, 173090.2953957848, 158726.0031806654, 155029.168555713, 161550.1789926641, 165360.7186413282, 175564.0451102733, 160931.5378577918, 143642.0595287602]",1872214.371850467,6.791489401564507,21.37231018094142,34.39531789125704,-115.04463910895078
"[135954.8199086442, 137604.1595778533, 169193.9467303249, 164562.5567120997, 162054.5036136683, 154040.7992882019, 153207.3972811823, 162661.89901859, 164246.9740684418, 171569.6605333536, 143273.2262369325, 133449.6866808791]","[167.5820595174769, 171.785636855383, 218.4343562202445, 216.3471998446041, 217.4501932977772, 212.0888409099967, 216.2608039089641, 226.5896805510302, 225.9573638617615, 220.9509915992757, 178.870943316605, 161.8588208334327]","[5.405872887660546, 6.13520131626368, 7.046269555491757, 7.211573328153471, 7.014522364444424, 7.069628030333224, 6.976154964805295, 7.309344533904199, 7.531912128725382, 7.127451341912121, 5.962364777220166, 5.221252284949442]","[142450.552774985, 144842.156683786, 177467.729516754, 172401.4695038443, 169750.2395520226, 161425.4407439202, 160615.3946139664, 170340.2161655512, 171739.4503254953, 179549.2746353936, 149817.2418661503, 139644.2478618856]",1851819.629650171,6.667628959488642,21.13949348915711,35.00149543817269,-117.13717714045092
"[87522.50416028603, 111048.374665367, 153948.4683620468, 147009.7798634642, 159570.7758215589, 155407.6654925377, 155516.9831287231, 159645.3380160841, 160237.5117800651, 148579.9393377315, 120319.7487857444, 83284.39829084653]","[108.5098646301618, 141.0984567439888, 198.4784184184981, 193.4623278691084, 210.2651337432202, 211.4316087968496, 217.2154476147757, 223.4730957645285, 218.9673466765004, 195.8509980994358, 153.2028095582968, 103.9568192429099]","[3.500318213876186, 5.039230597999599, 6.402529626403163, 6.448744262303614, 6.782746249781296, 7.047720293228321, 7.006949923057279, 7.208809540791242, 7.298911555883346, 6.317774132239864, 5.106760318609892, 3.353445782029352]","[91974.30929411654, 116333.30678267, 161354.8887345621, 154036.6039275573, 167205.1140009637, 162842.5196895163, 163010.2200335658, 167205.6302624916, 167603.2436003136, 155434.6851013288, 125965.6806106146, 87570.88263668348]",1642091.487704453,5.959495041350262,18.74533661763075,36.370283447337066,-119.98475466785315
