,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
2647,-120.99866484806456,41.82588136957796,1.0,121498.0,302.79359999999997,302.79359999999997,Redding,"(40.5698, -122.365)",[302.79359999999997],[121498],['Redding'],"[(40.5698, -122.365)]",
2648,-117.61177339501796,34.47353434892357,1.0,389060.0,30.9448,30.9448,Victorville,"(34.5277, -117.3536)",[30.9448],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2649,-120.48092347944596,41.20014970824567,1.0,121498.0,274.5174,274.5174,Redding,"(40.5698, -122.365)",[274.5174],[121498],['Redding'],"[(40.5698, -122.365)]",
2650,-120.50249603647174,41.55212376774508,1.0,121498.0,240.48510000000002,240.48510000000002,Redding,"(40.5698, -122.365)",[240.48510000000002],[121498],['Redding'],"[(40.5698, -122.365)]",
2651,-117.69806362312106,34.49308846334021,1.0,389060.0,36.324,36.324,Victorville,"(34.5277, -117.3536)",[36.324],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2652,-115.1956470081312,35.04060366700595,1.0,361831.0,337.216,337.216,Indio,"(33.7346, -116.2346)",[337.216],[361831],['Indio'],"[(33.7346, -116.2346)]",
2653,-116.79201622803852,34.47353434892357,2.0,488347.0,58.8347,60.7293,Hesperia,"(34.3975, -117.3147)","[58.8347, 60.7293]","[99287, 389060]","['Hesperia', 'Victorville']","[(34.3975, -117.3147), (34.5277, -117.3536)]",
2654,-118.02165197850768,35.86187647250458,1.0,381732.0,156.1372,156.1372,Lancaster,"(34.6935, -118.1753)",[156.1372],[381732],['Lancaster'],"[(34.6935, -118.1753)]",
2655,-115.17407445110544,35.09926601025586,1.0,361831.0,339.9873,339.9873,Indio,"(33.7346, -116.2346)",[339.9873],[361831],['Indio'],"[(33.7346, -116.2346)]",
2656,-117.93536175040455,36.09652584550419,1.0,249804.0,330.205,330.205,Visalia,"(36.3276, -119.3269)",[330.205],[249804],['Visalia'],"[(36.3276, -119.3269)]",
2657,-117.7412087371726,34.766846065173084,1.0,381732.0,49.3464,49.3464,Lancaster,"(34.6935, -118.1753)",[49.3464],[381732],['Lancaster'],"[(34.6935, -118.1753)]",
2658,-115.43294513541473,35.15792835350576,1.0,361831.0,282.70059999999995,282.70059999999995,Indio,"(33.7346, -116.2346)",[282.70059999999995],[361831],['Indio'],"[(33.7346, -116.2346)]",
2659,-120.58878626457484,41.92365194166113,1.0,121498.0,298.96770000000004,298.96770000000004,Redding,"(40.5698, -122.365)",[298.96770000000004],[121498],['Redding'],"[(40.5698, -122.365)]",
2660,-118.45310311902315,37.83684202858462,1.0,118488.0,339.6709,339.6709,Clovis,"(36.8278, -119.683)",[339.6709],[118488],['Clovis'],"[(36.8278, -119.683)]",
2661,-121.23596297534807,40.848175648746256,1.0,121498.0,146.2442,146.2442,Redding,"(40.5698, -122.365)",[146.2442],[121498],['Redding'],"[(40.5698, -122.365)]",
2662,-118.2373775487654,36.722257506836485,1.0,249804.0,411.92670000000004,411.92670000000004,Visalia,"(36.3276, -119.3269)",[411.92670000000004],[249804],['Visalia'],"[(36.3276, -119.3269)]",
2663,-120.99866484806456,41.74766491191142,1.0,121498.0,240.88070000000002,240.88070000000002,Redding,"(40.5698, -122.365)",[240.88070000000002],[121498],['Redding'],"[(40.5698, -122.365)]",
2664,-118.10794220661076,35.412131840922,1.0,381732.0,103.8937,103.8937,Lancaster,"(34.6935, -118.1753)",[103.8937],[381732],['Lancaster'],"[(34.6935, -118.1753)]",
2665,-121.25753553237384,41.53256965332845,1.0,121498.0,208.9784,208.9784,Redding,"(40.5698, -122.365)",[208.9784],[121498],['Redding'],"[(40.5698, -122.365)]",
2666,-117.52548316691484,36.07697173108756,1.0,389060.0,221.2536,221.2536,Victorville,"(34.5277, -117.3536)",[221.2536],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2667,-120.04947233893049,39.75314524141475,1.0,112132.0,232.3077,232.3077,Chico,"(39.7578, -121.8161)",[232.3077],[112132],['Chico'],"[(39.7578, -121.8161)]",
2668,-118.755118917384,38.1105996304175,1.0,118488.0,303.0375,303.0375,Clovis,"(36.8278, -119.683)",[303.0375],[118488],['Clovis'],"[(36.8278, -119.683)]",
2669,-116.6410083288581,34.258439090340595,1.0,220821.0,138.15970000000002,138.15970000000002,San Bernardino,"(34.1416, -117.2943)",[138.15970000000002],[220821],['San Bernardino'],"[(34.1416, -117.2943)]",
2670,-121.34382576047696,41.92365194166113,1.0,121498.0,253.4206,253.4206,Redding,"(40.5698, -122.365)",[253.4206],[121498],['Redding'],"[(40.5698, -122.365)]",
2671,-120.1141900100078,41.317474394745474,1.0,121498.0,291.9533,291.9533,Redding,"(40.5698, -122.365)",[291.9533],[121498],['Redding'],"[(40.5698, -122.365)]",
2672,-117.71963618014682,34.74729195075645,1.0,381732.0,48.8245,48.8245,Lancaster,"(34.6935, -118.1753)",[48.8245],[381732],['Lancaster'],"[(34.6935, -118.1753)]",
2673,-118.6688286892809,37.38709739700204,1.0,118488.0,349.8198,349.8198,Clovis,"(36.8278, -119.683)",[349.8198],[118488],['Clovis'],"[(36.8278, -119.683)]",
2674,-118.73354636035825,38.07149140158423,1.0,118488.0,305.5773,305.5773,Clovis,"(36.8278, -119.683)",[305.5773],[118488],['Clovis'],"[(36.8278, -119.683)]",
2675,-121.99100247125018,41.80632725516132,1.0,121498.0,178.9977,178.9977,Redding,"(40.5698, -122.365)",[178.9977],[121498],['Redding'],"[(40.5698, -122.365)]",
2676,-121.58112388776048,40.76995919107972,1.0,121498.0,126.0926,126.0926,Redding,"(40.5698, -122.365)",[126.0926],[121498],['Redding'],"[(40.5698, -122.365)]",
2677,-117.87064407932723,36.23340464642063,1.0,249804.0,354.5053,354.5053,Visalia,"(36.3276, -119.3269)",[354.5053],[249804],['Visalia'],"[(36.3276, -119.3269)]",
2678,-117.9137891933788,35.959647044587754,1.0,381732.0,151.45329999999998,151.45329999999998,Lancaster,"(34.6935, -118.1753)",[151.45329999999998],[381732],['Lancaster'],"[(34.6935, -118.1753)]",
2679,-121.3006806464254,40.90683799199616,1.0,121498.0,144.7161,144.7161,Redding,"(40.5698, -122.365)",[144.7161],[121498],['Redding'],"[(40.5698, -122.365)]",
2680,-115.4545176924405,34.96238720933942,1.0,361831.0,273.673,273.673,Indio,"(33.7346, -116.2346)",[273.673],[361831],['Indio'],"[(33.7346, -116.2346)]",
2681,-118.19423243471388,36.87869042216956,1.0,118488.0,501.9587,501.9587,Clovis,"(36.8278, -119.683)",[501.9587],[118488],['Clovis'],"[(36.8278, -119.683)]",
2682,-121.08495507616766,41.12193325057913,1.0,121498.0,153.825,153.825,Redding,"(40.5698, -122.365)",[153.825],[121498],['Redding'],"[(40.5698, -122.365)]",
2683,-117.95693430743034,36.42894579058697,1.0,249804.0,370.93609999999995,370.93609999999995,Visalia,"(36.3276, -119.3269)",[370.93609999999995],[249804],['Visalia'],"[(36.3276, -119.3269)]",
2684,-120.82608439185836,40.90683799199616,1.0,121498.0,209.1646,209.1646,Redding,"(40.5698, -122.365)",[209.1646],[121498],['Redding'],"[(40.5698, -122.365)]",
2685,-122.3145908266368,41.68900256866152,1.0,121498.0,153.02079999999998,153.02079999999998,Redding,"(40.5698, -122.365)",[153.02079999999998],[121498],['Redding'],"[(40.5698, -122.365)]",
2686,-117.5902008379922,35.412131840922,1.0,389060.0,106.6417,106.6417,Victorville,"(34.5277, -117.3536)",[106.6417],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2687,-115.49766280649204,35.56856475625507,1.0,361831.0,411.867,411.867,Indio,"(33.7346, -116.2346)",[411.867],[361831],['Indio'],"[(33.7346, -116.2346)]",
2688,-117.11560458342514,34.453980234506936,2.0,488347.0,27.0368,28.9313,Hesperia,"(34.3975, -117.3147)","[27.0368, 28.9313]","[99287, 389060]","['Hesperia', 'Victorville']","[(34.3975, -117.3147), (34.5277, -117.3536)]",
2689,-116.98616924127047,35.333915383255466,1.0,389060.0,158.7151,158.7151,Victorville,"(34.5277, -117.3536)",[158.7151],[389060],['Victorville'],"[(34.5277, -117.3536)]",
2690,-120.65350393565215,41.80632725516132,1.0,121498.0,271.3629,271.3629,Redding,"(40.5698, -122.365)",[271.3629],[121498],['Redding'],"[(40.5698, -122.365)]",
2691,-120.955519734013,41.39569085241201,1.0,121498.0,196.18820000000002,196.18820000000002,Redding,"(40.5698, -122.365)",[196.18820000000002],[121498],['Redding'],"[(40.5698, -122.365)]",
2692,-116.42528275860036,32.75277228025978,1.0,106043.0,67.21010000000001,67.21010000000001,El Cajon,"(32.8017, -116.9604)",[67.21010000000001],[106043],['El Cajon'],"[(32.8017, -116.9604)]",
2693,-121.06338251914188,41.18059559382903,1.0,121498.0,160.0828,160.0828,Redding,"(40.5698, -122.365)",[160.0828],[121498],['Redding'],"[(40.5698, -122.365)]",
