,lng,lat,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
2802,-120.22946155209502,38.43334127644557,4.0,2283107.0,131.94310000000002,138.69629999999998,Elk Grove,"(38.4161, -121.3842)","[131.94310000000002, 134.0542, 136.2344, 138.69629999999998]","[175510, 95909, 1924167, 87521]","['Elk Grove', 'Arden-Arcade', 'Sacramento', 'Citrus Heights']","[(38.4161, -121.3842), (38.6017, -121.3845), (38.5677, -121.4685), (38.6948, -121.288)]",
2803,-120.22946155209502,38.5319019137577,4.0,2283107.0,129.7432,136.4964,Elk Grove,"(38.4161, -121.3842)","[129.7432, 131.8543, 134.0345, 136.4964]","[175510, 95909, 1924167, 87521]","['Elk Grove', 'Arden-Arcade', 'Sacramento', 'Citrus Heights']","[(38.4161, -121.3842), (38.6017, -121.3845), (38.5677, -121.4685), (38.6948, -121.288)]",
2804,-120.22946155209502,38.63046255106983,4.0,2253284.0,120.362,132.2535,Citrus Heights,"(38.6948, -121.288)","[120.362, 128.8368, 129.72639999999998, 132.2535]","[87521, 95909, 145687, 1924167]","['Citrus Heights', 'Arden-Arcade', 'Roseville', 'Sacramento']","[(38.6948, -121.288), (38.6017, -121.3845), (38.7703, -121.3196), (38.5677, -121.4685)]",
2805,-120.22946155209502,38.72902318838195,4.0,2253284.0,113.3461,125.2377,Citrus Heights,"(38.6948, -121.288)","[113.3461, 121.821, 122.7106, 125.2377]","[87521, 95909, 145687, 1924167]","['Citrus Heights', 'Arden-Arcade', 'Roseville', 'Sacramento']","[(38.6948, -121.288), (38.6017, -121.3845), (38.7703, -121.3196), (38.5677, -121.4685)]",
2806,-120.22946155209502,38.82758382569408,4.0,2253284.0,124.40339999999999,136.29489999999998,Citrus Heights,"(38.6948, -121.288)","[124.40339999999999, 132.87820000000002, 133.7678, 136.29489999999998]","[87521, 95909, 145687, 1924167]","['Citrus Heights', 'Arden-Arcade', 'Roseville', 'Sacramento']","[(38.6948, -121.288), (38.6017, -121.3845), (38.7703, -121.3196), (38.5677, -121.4685)]",
2807,-120.22946155209502,38.9261444630062,4.0,2253284.0,133.568,145.4595,Citrus Heights,"(38.6948, -121.288)","[133.568, 142.0428, 142.9324, 145.4595]","[87521, 95909, 145687, 1924167]","['Citrus Heights', 'Arden-Arcade', 'Roseville', 'Sacramento']","[(38.6948, -121.288), (38.6017, -121.3845), (38.7703, -121.3196), (38.5677, -121.4685)]",
2808,-120.22946155209502,39.02470510031832,5.0,2382820.0,183.1829,206.6625,Roseville,"(38.7703, -121.3196)","[183.1829, 185.6234, 195.33370000000002, 198.941, 206.6625]","[145687, 87521, 129536, 95909, 1924167]","['Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento']","[(38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685)]",
2809,-120.22946155209502,39.12326573763045,5.0,2382820.0,167.5337,191.0133,Roseville,"(38.7703, -121.3196)","[167.5337, 169.97420000000002, 179.6845, 183.2918, 191.0133]","[145687, 87521, 129536, 95909, 1924167]","['Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento']","[(38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685)]",
2810,-120.22946155209502,39.22182637494257,5.0,2382820.0,147.7215,171.2012,Roseville,"(38.7703, -121.3196)","[147.7215, 150.162, 159.8723, 163.4796, 171.2012]","[145687, 87521, 129536, 95909, 1924167]","['Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento']","[(38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685)]",
2811,-120.22946155209502,39.3203870122547,5.0,2382820.0,136.653,160.1327,Roseville,"(38.7703, -121.3196)","[136.653, 139.0935, 148.8038, 152.4111, 160.1327]","[145687, 87521, 129536, 95909, 1924167]","['Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento']","[(38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685)]",
2812,-120.22946155209502,39.418947649566825,6.0,2494952.0,152.3995,227.4617,Roseville,"(38.7703, -121.3196)","[152.3995, 154.84, 164.5503, 168.1576, 175.87920000000003, 227.4617]","[145687, 87521, 129536, 95909, 1924167, 112132]","['Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento', 'Chico']","[(38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685), (39.7578, -121.8161)]",
2813,-120.22946155209502,39.51750828687895,6.0,2494952.0,164.8484,239.91060000000002,Roseville,"(38.7703, -121.3196)","[164.8484, 167.28889999999998, 176.9992, 180.6065, 188.3281, 239.91060000000002]","[145687, 87521, 129536, 95909, 1924167, 112132]","['Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento', 'Chico']","[(38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685), (39.7578, -121.8161)]",
2814,-120.22946155209502,39.61606892419108,6.0,2494952.0,179.75889999999998,239.0605,Roseville,"(38.7703, -121.3196)","[179.75889999999998, 182.1994, 191.90970000000002, 195.517, 203.23860000000002, 239.0605]","[145687, 87521, 129536, 95909, 1924167, 112132]","['Roseville', 'Citrus Heights', 'Yuba City', 'Arden-Arcade', 'Sacramento', 'Chico']","[(38.7703, -121.3196), (38.6948, -121.288), (39.1357, -121.6383), (38.6017, -121.3845), (38.5677, -121.4685), (39.7578, -121.8161)]",
