X,Y,sol_id,GID_0,panels,panel.area,landscape.area,water,urban,power
1617698.5583084,5728981.05814374,30988,HUN,3,0.0507645829727501,0.0507645829727501,0,0,3.27661396968133
1608766.73034514,5739351.47581003,30989,HUN,3,0.0113486806158423,0.0113486806158423,0,0,0.927410830782789
275100.506269238,5631090.83648641,30990,FRA,5,0.0787611728554647,0.0787611728554647,0,0,4.74390634855739
1262775.90654128,4795595.19257673,30991,ITA,4,0.0184034192082882,0.0184034192082882,0,0,1.39367267739707
905697.83559026,6237281.89529988,30992,DEU,4,0.0527639437794946,0.0527639437794946,0,0,3.38500773185145
1974061.76663529,5050331.26280838,30993,GRC,8,0.00362353201903996,0.00362353201903996,0,0,
1827349.47064259,6538665.17347922,30994,LTU,3,0.00171896731161326,0.00171896731161326,0,0,
669448.353630263,5974038.76211806,30995,DEU,5,4.0508966307214e-005,4.0508966307214e-005,0,1,
531578.453711903,6147687.40718087,30996,DEU,2,0.000726290083658561,0.000726290083658561,0,0,
333125.416332375,6251328.91825438,30997,NLD,2,5.41984080988914e-005,5.41984080988914e-005,0,0,
336079.019882388,6250736.78431587,30998,NLD,3,0.000869813632646576,0.000869813632646576,0,0,
904902.041797946,6123841.2319371,30999,DEU,7,0.00329030021017324,0.00329030021017324,0,0,
1932916.85734355,4923715.43176523,31000,GRC,3,0.00633664034312218,0.00633664034312218,0,0,
1934288.26468977,4924943.70816346,31001,GRC,2,0.00423252125221491,0.00423252125221491,0,0,
1937645.42299853,4924618.95231497,31002,GRC,4,0.00920486840260029,0.00920486840260029,0,0,
1937127.49991662,4925420.72586538,31003,GRC,2,0.0112192133758217,0.0112192133758217,0,0,0.91848896110904
359826.923733734,5548577.71194203,31004,FRA,4,1.63219512278447e-005,1.63219512278447e-005,0,0,
512409.979953156,5679926.14564768,31005,FRA,5,1.29116324097849e-005,1.29116324097849e-005,0,1,
624431.881949756,6093277.52370661,31006,DEU,3,0.00754601568862423,0.00754601568862423,0,0,
697893.600374808,6698849.51915492,31007,DNK,3,7.74327768064104e-005,7.74327768064104e-005,0,0,
1409169.19670126,5125007.49674094,31008,ITA,7,0.0219847450312677,0.0219847450312677,0,0,1.61890822872318
1959730.67635743,4762439.2418232,31009,GRC,8,0.00439779833047464,0.00439779833047464,0,0,
882331.528637359,6576667.39601575,31010,DNK,3,0.0107069356231838,0.0107069356231838,0,0,0.883025482669424
1962721.95633376,4762520.3999759,31011,GRC,5,0.00493828935414925,0.00493828935414925,0,0,
1316497.11045684,5996052.20810899,31012,CZE,2,0.000712078326124232,0.000712078326124232,0,0,
1943666.71368338,4768650.07881147,31013,GRC,2,0.00542574253178388,0.00542574253178388,0,0,
1054204.28866427,6006077.1688039,31014,CZE,7,0.0322273093123212,0.0322273093123212,0,0,2.23442681001997
884626.558010453,6607349.68397799,31015,DNK,2,3.25590862780809e-005,3.25590862780809e-005,0,0,
1277099.70752927,5718746.64513192,31016,SVN,2,0.000518608119610697,0.000518608119610697,0,1,
755286.257079043,5922497.7005513,31017,DEU,3,4.53041594082024e-005,4.53041594082024e-005,0,1,
964764.851480679,5290998.56853733,31018,ITA,3,0.00324927215222782,0.00324927215222782,0,0,
1074179.11362716,5895272.63908319,31019,AUT,2,3.38424910451286e-005,3.38424910451286e-005,0,0,
1039218.88569668,5350598.08063801,31020,ITA,2,0.000666940624477807,0.000666940624477807,0,0,
727382.89555631,6686949.93941369,31021,DNK,3,3.33973165091593e-005,3.33973165091593e-005,0,0,
481628.671450944,6134051.6021171,31022,BEL,2,9.31350025855936e-005,9.31350025855936e-005,0,0,
82046.8724473747,6337038.58559466,31023,GBR,3,0.00246267746989813,0.00246267746989813,0,0,
1449136.80803308,5755826.40744762,31024,HUN,5,0.0094913898322098,0.0094913898322098,0,0,
1224308.64784407,6260998.33566327,31025,POL,5,6.21807744016405e-005,6.21807744016405e-005,0,0,
816643.709941036,6375278.99223586,31026,DEU,3,0.000396423983348533,0.000396423983348533,0,0,
230509.511390831,5351781.51317726,31027,FRA,13,0.0414421598912751,0.0414421598912751,0,0,2.76174891448041
1075100.44814328,5921301.4278459,31028,DEU,3,0.00768186729393899,0.00768186729393899,0,0,
1074534.80199585,5921953.44130901,31029,DEU,4,0.0417560396501913,0.0417560396501913,0,0,2.77936154819158
879535.999880397,5976728.98564304,31030,DEU,4,0.0347527810547247,0.0347527810547247,0,0,2.38106672056047
1834542.64782889,4886231.82912721,31031,GRC,5,0.00457697581698745,0.00457697581698745,0,0,
841185.420634556,6039531.11261842,31032,DEU,2,1.41372844055877e-005,1.41372844055877e-005,0,0,
853169.450430033,6026285.07002211,31033,DEU,2,0.000670643369981088,0.000670643369981088,0,0,
552699.067595928,6006220.78501941,31034,DEU,2,6.32741252193227e-005,6.32741252193227e-005,0,0,
480919.843459502,6135499.89469928,31035,BEL,2,4.93396823958028e-005,4.93396823958028e-005,0,1,
717479.00346276,6666322.31547827,31036,DNK,3,4.2626569641754e-005,4.2626569641754e-005,0,0,
331796.544900836,6171741.55953544,31037,BEL,7,2.59056040304713e-005,2.59056040304713e-005,0,1,
1253688.02557852,5926952.55854132,31038,AUT,4,0.00888128386189788,0.00888128386189788,0,0,
1992186.06665097,6851992.97974743,31039,EST,3,0.00614760598626733,0.00614760598626733,0,1,
909687.098931523,5675789.16541341,31040,ITA,2,0.00137096876462735,0.00137096876462735,0,1,
1739131.47333586,6671747.70016727,31041,LTU,4,0.00335124851616845,0.00335124851616845,0,0,
812630.465682235,6376185.33394074,31042,DEU,3,0.000221386684753466,0.000221386684753466,0,0,
153997.904183834,5521933.29262562,31043,FRA,3,0.000694214500098351,0.000694214500098351,0,0,
152247.537387195,5527027.32138472,31044,FRA,4,0.00165475492169615,0.00165475492169615,0,0,
795543.457629669,6598026.55666112,31045,DNK,3,6.1787009157124e-005,6.1787009157124e-005,0,0,
318718.034804874,6219687.289298,31046,NLD,2,2.63075380062219e-005,2.63075380062219e-005,0,0,
