lat,lon,State,panel.area,power,panels,landscape.area,water,urban,Address,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh,land_cover,min distance to city (in miles),slope,elevation
33.6929259,-116.194270999999,CA,0.0002812533692824,,2.0,6.98898336513666e-05,0.0,1.0,"Buena Vista, 84300 Margarita Ave, Coachella, CA 92236, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,6.9829,0,-13
34.2441022871913,-118.477668742624,CA,0.0014062668464123,,10.0,0.0450695851390362,0.0,1.0,"9525 Haskell Ave, North Hills, CA 91343, USA",4974154.736842105,5953120.736842105,29879628.736842103,1.0,21.5895,4,272
39.6511158738935,-121.6482468678,CA,0.0243636519959951,1.76528992617814,20.0,0.281726777667046,0.0,0.0,"Student Health Clinic, Oroville, CA 95965, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,24.6027,4,106
35.2632776920968,-120.707991112871,CA,0.0004881498101139,,44.0,0.215185756166052,0.0,1.0,"1890 Diablo Dr, San Luis Obispo, CA 93405, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,52.1407,8,89
38.5570231303086,-121.748822494534,CA,0.0043786254983017,,29.0,0.038416484764792,0.0,1.0,"315 E 14th St, Davis, CA 95616, USA",4974154.736842105,4974154.736842105,16771580.736842103,1.0,29.0931,0,13
35.6371161700699,-120.859492966358,CA,0.0003240306621752,,13.0,0.0005543584174886,0.0,0.0,"9349 Adelaida Rd, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,108.2698,9,427
35.6511079402254,-120.710920375324,CA,0.0119911940412612,0.971454885708882,1229.0,1.63142233779103,0.0,0.0,"3575 Mustang Springs Rd, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,102.1655,7,315
36.2302949499963,-121.766395834649,CA,0.0042481621104776,,7.0,0.0079956407557819,0.0,0.0,"66JM+4C Loma Vista, Big Sur, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,61.183800000000005,7,313
35.6898228563318,-120.599436294258,CA,6.31532943062484e-05,,6.0,0.0043506423244476,0.0,0.0,"5990 Deer Creek Way, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,112.0074,8,245
35.6414436891662,-120.722658147069,CA,9.03328447695821e-05,,5.0,0.0010389962378777,0.0,0.0,"2080 Cielo Vista Rd, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,103.0516,20,379
35.5928872738967,-120.547122707364,CA,0.0001030438917335,,10.0,0.0002043164616972,0.0,0.0,"HFV3+55 Paso Robles, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,105.7315,1,336
35.5865028587379,-120.554042214324,CA,0.000122034403393,,11.0,0.0002570362672917,0.0,0.0,"HCPW+J9 Paso Robles, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,104.0766,3,298
35.6099089640197,-120.587084820025,CA,0.0005265870010487,,15.0,0.607869310888767,0.0,0.0,"6130 Dresser Ranch Pl, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,107.6077,13,331
35.5718246645038,-120.594644934273,CA,0.0001065482280738,,6.0,0.0001634980176089,0.0,0.0,"5595 Creston Rd, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,101.3026,1,301
35.5410057417362,-120.576582985519,CA,0.0001599942649919,,5.0,0.0002145938063495,0.0,0.0,"225 Spanish Oaks Ln, Templeton, CA 93465, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,98.2326,9,362
35.6569876255885,-120.596400315979,CA,0.0109238681205697,0.898074984236886,66.0,1.81494472736901,0.0,0.0,"5625 CA-46, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,108.5896,1,281
35.5335826288866,-120.616839994352,CA,0.0001011311432132,,9.0,0.0071758464279174,0.0,0.0,"4490 S El Pomar Rd, Templeton, CA 93465, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,88.9563,12,353
35.4863086584516,-120.61289216453,CA,9.14648485887446e-05,,5.0,0.0018852084016297,0.0,0.0,"F9PP+GR Atascadero, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,90.6931,3,380
35.5069735186435,-120.652380493616,CA,0.0002156389174368,,23.0,0.0345653984941766,0.0,0.0,"4190 Templeton Rd, Atascadero, CA 93422, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,82.9618,2,265
35.5090857445802,-120.638165066928,CA,0.0001599692470984,,10.0,0.0493746800386123,0.0,0.0,"3501 Creston-Eureka Rd, Templeton, CA 93465, USA",4974154.736842105,4974154.736842105,4974154.736842105,0.0,83.8982,15,311
35.6561300644031,-120.663555649891,CA,0.0003589301813495,,28.0,0.326708868984461,0.0,0.0,"1670 Circle B Rd, Paso Robles, CA 93446, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,104.09,0,238
35.0752373044823,-120.568855457214,CA,0.0009638418033062,,52.0,3.19571892732429,0.0,0.0,"464 Aloma Way, Arroyo Grande, CA 93420, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,25.2648,5,96
35.0950417574295,-120.574011582934,CA,0.000383570493374,,22.0,0.137858937034555,0.0,0.0,"2736 Sevada Ln, Arroyo Grande, CA 93420, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,25.9501,3,97
35.0811587146908,-120.481960826257,CA,8.89304266199469e-05,,5.0,0.0001914184468314,0.0,0.0,"1055 Ridgecrest Pl, Nipomo, CA 93444, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,23.6643,3,259
35.0676505309516,-120.59604733406,CA,0.0001045332442084,,6.0,0.0058989127707481,0.0,0.0,"2830 Giuseppe Way, Arroyo Grande, CA 93420, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,28.1723,2,32
35.159665537911,-120.600470144847,CA,0.0008511345996866,,64.0,1.87283192614365,0.0,0.0,"1598 Vista Grande Ln, Arroyo Grande, CA 93420, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,34.9651,7,131
37.4222335335912,-122.0861838285,CA,0.0017855778077542,,14.0,0.0026809946740693,0.0,1.0,"Google Building 41, Mountain View, CA 94043, USA",5801624.736842105,10215782.736842103,11477067.736842103,1.0,3.7341,2,6
35.1670410044455,-120.54365629776,CA,8.68032233305275e-05,,4.0,0.0060810057362057,0.0,0.0,"587 Corralitos Rd, Arroyo Grande, CA 93420, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,35.1154,17,163
35.5132898776585,-120.533863028517,CA,0.0001477887380903,,5.0,0.0013768719372113,0.0,0.0,"GF78+8F Creston, CA, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,90.8469,8,357
35.5020491787875,-120.522600257726,CA,8.98226157017052e-05,,5.0,0.0071200940780304,0.0,0.0,"6655 Golden Pheasant Way, Creston, CA 93432, USA",4974154.736842105,4974154.736842105,4974154.736842105,1.0,90.2513,3,362
