ac_monthly,poa_monthly,solrad_monthly,dc_monthly,ac_annual,solrad_annual,capacity_factor,latitude,longitude
"[139765.2357326583, 141630.9577386592, 170460.3895363121, 164537.3407558137, 162077.3451825234, 150322.9936566799, 143500.8366730452, 153286.2915059651, 157793.1972725164, 162175.1497657767, 149711.245940345, 140755.9136021894]","[177.2364423376472, 181.0108904442482, 222.5352809372014, 218.5424313322945, 221.5705359568778, 210.4165573931713, 203.8596671946042, 214.975976866584, 217.9056537913592, 216.7448460956101, 191.5317188539471, 173.2441819595861]","[5.717304591537007, 6.464674658723152, 7.178557449587143, 7.284747711076483, 7.147436643770251, 7.013885246439044, 6.576118296600137, 6.934708931180129, 7.263521793045308, 6.991769228890647, 6.384390628464902, 5.588521998696325]","[146173.9361669436, 148367.3360100891, 178446.3007046853, 172158.9091362976, 169744.1379557746, 157600.8525761878, 150554.5687676022, 160588.1509870008, 165128.7138216085, 169535.1716550804, 156500.8016816413, 147154.4899306977]",1836016.897362483,6.712136431500877,20.95909700185485,34.39531789125704,-115.51923536351782
"[101327.9258045855, 111868.7120170371, 153050.5778442034, 153292.0640373908, 158387.0149679108, 155376.7101190379, 154517.1696352211, 159501.1347368294, 159043.7085293621, 150713.9056707447, 123519.2869171758, 103338.4935828078]","[126.1979879691717, 142.3676391436086, 197.2936044728208, 201.3551917352851, 208.5873183351306, 211.2977170914437, 215.9773049152101, 223.5321225111881, 217.3807776128201, 199.942722205959, 157.7459608829431, 127.5676049044566]","[4.070902837715216, 5.084558540843163, 6.364309821703896, 6.711839724509504, 6.728623172100988, 7.043257236381456, 6.96700983597452, 7.210713629393164, 7.246025920427335, 6.449765232450289, 5.258198696098103, 4.115084029176018]","[106301.2095904963, 117187.6398778036, 160372.3410985287, 160477.6424133252, 165985.5831421111, 162810.427149734, 161976.8392065507, 167054.651653643, 166365.585191327, 157685.5180974228, 129285.4137424829, 108393.5924599949]",1683936.703862302,6.104190723064471,19.223021733588,36.52671636267014,-120.30834302323976
"[145550.4916649795, 141049.7705542735, 172494.9314915428, 167964.7911258174, 163752.7721675216, 150699.9137715388, 146310.8487398337, 155842.367762627, 155745.1339065819, 166851.0743358185, 147109.0723264615, 138440.5495888555]","[181.0475718582391, 177.2249587324479, 222.7547333966694, 220.0037552984529, 220.7955420277858, 208.6216393881667, 203.7094650102991, 216.7761585426063, 213.4089190752431, 220.7168718294949, 185.3692261666688, 169.6513328775528]","[5.840244253491584, 6.329462811873138, 7.185636561182883, 7.333458509948431, 7.122436839605995, 6.954054646272223, 6.571273064848358, 6.992779307826011, 7.113630635841435, 7.119899091274029, 6.178974205555625, 5.47262364121138]","[152214.401195598, 147755.1880301955, 180585.2099384966, 175765.6478506275, 171458.638770286, 157957.7164038788, 153453.0190115786, 163230.186410802, 162945.6457435894, 174397.9373183278, 153793.4649174222, 144725.8521600651]",1851811.717435849,6.684539464077591,21.13940316707588,34.57130492100674,-114.63476052546106
"[97362.11025988545, 92245.84093426606, 131751.9479605225, 142223.8823456068, 142870.9286366554, 148473.4058949811, 164039.7322201168, 163197.2102772674, 153404.9467742156, 146585.0432636218, 102961.3219830474, 85975.41988738785]","[118.4701154249583, 113.9002457370947, 166.8524288373353, 182.8112623844291, 191.6813147658416, 205.8209899114464, 228.0553048183227, 226.119339682357, 208.8931673679137, 189.1874273318054, 127.3953544607464, 104.3929844511933]","[3.821616626611557, 4.067865919181955, 5.382336414107589, 6.093708746147636, 6.183268218252954, 6.860699663714879, 7.356622736074924, 7.294172247817967, 6.963105578930457, 6.10282023650985, 4.246511815358212, 3.367515627457847]","[102080.1991012569, 96877.35808847957, 138236.2568358818, 149091.3086331809, 149906.9173569899, 155707.9815396084, 171877.5676912781, 170897.4697497734, 160526.3679122089, 153441.4248934925, 107964.8554592855, 90281.85268351137]",1571091.790437573,5.645020319180486,17.93483779038333,39.87046992791456,-122.61660662499764
"[111194.679231425, 109483.5316998485, 142867.0982222786, 150751.6455497788, 157576.2307926092, 151818.6719650729, 160987.8172992385, 164291.8689507124, 160886.0754182785, 152890.5310785687, 131231.4173443634, 108366.5423168651]","[137.9193380847672, 139.0569645522769, 182.5603351546987, 195.4094416512862, 209.3769220690538, 205.5285361477244, 218.723188670676, 225.6179737055953, 216.1190932648817, 198.3143604864677, 165.5627720725019, 134.2840019644114]","[4.449010905960233, 4.966320162581318, 5.88904306950641, 6.513648055042873, 6.754094260292058, 6.850951204924146, 7.055586731312128, 7.277999151793397, 7.203969775496057, 6.397237435047344, 5.518759069083396, 4.331741998851982]","[116537.0002499138, 114725.9130080646, 149763.3247881359, 157850.7458256466, 165146.3861755008, 159121.6820921578, 168685.1904262711, 172003.6478431415, 168275.6326561524, 159904.2033772236, 137282.2990412622, 113598.0953924563]",1702346.10986904,6.100696818324278,19.43317477019448,35.78366001483805,-120.73979416375526
"[102469.9979433596, 91202.9609673408, 145592.0147990544, 140276.2970941507, 156851.5196546169, 149807.4524354238, 163076.7719449889, 165704.1248500425, 160452.8311931938, 147324.5189587958, 116432.1699446205, 91448.94625780931]","[124.9555147252792, 113.284038731536, 184.1521069761928, 182.4293222428849, 208.8765691903038, 206.7223043043861, 226.1695726330395, 228.8508291362566, 218.8193190433475, 190.7451676335207, 145.5309912318684, 111.6737151132064]","[4.030823055654169, 4.045858526126286, 5.940390547619121, 6.080977408096163, 6.737953844848509, 6.890743476812869, 7.295792665581921, 7.382284810846988, 7.293977301444918, 6.153069923661958, 4.85103304106228, 3.602377906877624]","[107391.5656170976, 95775.94482760351, 152579.7956757646, 147003.8765487958, 164396.9431301424, 157036.5790722738, 170846.2040218773, 173489.608519332, 167830.1504450542, 154227.122539122, 121940.8517135732, 96050.46217683009]",1630639.606043394,5.858773542386068,18.61460737492458,38.75588540616641,-122.3145908266368
"[127872.9239473369, 118803.8147620377, 141937.4262376644, 142441.2475190699, 140196.2614814087, 145827.224271114, 148901.5125722985, 161915.1676044767, 145231.7033207157, 147558.0236752393, 132543.8826614589, 114394.3782195309]","[161.042777732201, 150.7710585784317, 183.5923144544168, 186.3781128902167, 184.9742882598569, 194.7150000378362, 199.6826264879976, 218.5620824179238, 195.1173505041157, 192.7495522887766, 169.3708011787249, 141.5308305204844]","[5.194928313941968, 5.384680663515417, 5.922332724336025, 6.212603763007223, 5.966912524511512, 6.490500001261206, 6.441375047999922, 7.050389755416898, 6.503911683470524, 6.217727493186342, 5.645693372624163, 4.565510661951111]","[133844.2185635492, 124573.8463591489, 148739.7018448441, 149236.5553108202, 147111.5476459267, 152908.8410642956, 156150.7780709836, 169546.9002575212, 152040.4861177868, 154400.7929287998, 138674.0757507105, 119859.3790103841]",1667623.56627235,5.966380500435193,19.03679870173915,34.160668518257424,-118.53939334712626
"[80655.9210940325, 105223.6282588928, 133486.301349911, 140197.2282759381, 149712.0565738084, 154259.222198183, 159659.6744875046, 161537.6207064583, 153414.132020603, 143606.5446044484, 100563.6681046225, 77792.94139531052]","[99.38509009303682, 131.519914607091, 171.5659771338407, 182.3202615265998, 202.1630014055312, 212.5550190324302, 222.5841704942997, 223.4590415544878, 209.1415878015289, 187.811775382309, 126.1003445668659, 96.16804661243485]","[3.205970648162478, 4.697139807396108, 5.534386359156152, 6.077342050886659, 6.521387142113912, 7.085167301081006, 7.180134532074185, 7.208356179177025, 6.971386260050964, 6.058444367171258, 4.20334481889553, 3.102195052014027]","[84753.07978839977, 110350.3067904942, 139839.5122541709, 146921.8824814308, 156995.2071134183, 161651.8875651147, 167308.2574029194, 169175.4265889327, 160529.9784397728, 150243.3021337181, 105469.4825802082, 81801.0134482618]",1560108.939069711,5.653771209848274,17.80946277476841,39.75314524141475,-122.18515548448217
"[111508.097914288, 108921.6507193069, 138351.7975241636, 134075.2383084971, 150910.9734486547, 152427.2975133575, 154452.9903261049, 164044.5061007772, 164503.4434181123, 152706.5779214194, 113345.8077680761, 109980.1687440153]","[137.4930537981705, 136.8138107520663, 177.3062865760323, 175.4795266960411, 201.0942643813301, 207.5116100618308, 213.1152420994664, 225.7867301975648, 221.948985700221, 199.9277130871892, 144.7865417503714, 136.491360334982]","[4.435259799940982, 4.88620752685951, 5.719557631484912, 5.849317556534702, 6.486911754236455, 6.917053668727692, 6.874685229015046, 7.283442909598864, 7.3982995233407, 6.449281067328685, 4.826218058345712, 4.402947107580066]","[116861.2432136557, 114263.8894763339, 144994.0100244937, 140532.8643502178, 158225.6125552233, 159752.6659057091, 161910.3022277277, 171771.8466924271, 172064.6251518421, 159714.9957558263, 118758.828246975, 115370.2027237247]",1655228.549706767,5.960765152749443,18.89530307884442,35.236144811172295,-118.5825384611778
"[94785.89809938012, 112859.6266081801, 140969.1280172394, 148929.4730383874, 154108.7359563637, 154345.7212771133, 162242.0751533387, 165798.8582290119, 159493.2153497235, 147433.2483592693, 103707.1934168392, 83141.5401282829]","[115.3693810727534, 140.7945563532711, 180.2854447546624, 195.0628612748251, 205.5259714583757, 212.2562265015767, 225.8910830735956, 229.2405119238318, 218.0783973035336, 192.3755524264995, 131.2715359301687, 102.3436808707601]","[3.721592937830756, 5.028377012616824, 5.815659508214916, 6.502095375827504, 6.629870047044376, 7.075207550052556, 7.28680913140631, 7.394855223349414, 7.269279910117788, 6.205662981499984, 4.375717864338955, 3.301409060347101]","[99429.52949498499, 118334.471628398, 147661.2196766628, 156001.81154921, 161542.6448610419, 161739.1389771203, 169985.5242788137, 173589.7179493047, 166829.0733705513, 154220.4236668072, 108726.1188261791, 87374.6202663511]",1627814.713633127,5.883878050220541,18.58235974467041,38.794993634999685,-122.03414758530174
"[82248.05827759622, 83957.44744504904, 133625.8210787187, 134064.0095781545, 148429.5450703858, 145247.1649306828, 157580.4259794621, 157036.546949419, 147121.0121147001, 136614.0025037142, 102275.9605417802, 77766.76344857871]","[102.3089916546803, 105.9888718096175, 173.2489728421642, 178.7349124216136, 202.3943701201368, 205.8289242682328, 225.5655774099742, 223.1214552064479, 206.0171051874918, 181.5646436499781, 131.2607106222859, 96.23388402080118]","[3.300290053376784, 3.785316850343482, 5.588676543295618, 5.957830414053785, 6.528850649036669, 6.860964142274425, 7.276308948708846, 7.19746629698219, 6.867236839583059, 5.85692398870897, 4.375357020742864, 3.104318839380683]","[86441.04559126723, 88229.83153772286, 139994.0005410373, 140582.467419313, 155662.7268519588, 152367.8826649624, 165247.1211372996, 164509.7979925724, 154009.9112832304, 142986.5777881206, 107260.6266090449, 81800.42983660236]",1505966.757918239,5.558295048873948,17.19140134609864,40.339768673913774,-122.61660662499764
"[139010.4732098028, 145453.4664880468, 169139.0804283897, 161698.4499935561, 162468.5216099257, 149152.8913384058, 141601.7193510676, 150362.3755586526, 155950.3780500114, 163356.5345572937, 144423.0346711998, 144759.5920808771]","[172.2334825440292, 182.1483067239051, 218.8316731564072, 213.4781346161473, 219.8185589898898, 206.8736177966836, 199.1185675184757, 209.4177285967407, 215.0009274802914, 215.7293081045108, 183.4419569545008, 176.9426530733999]","[5.555918791742879, 6.505296668710895, 7.059086230851847, 7.115937820538245, 7.090921257738382, 6.895787259889455, 6.423179597370183, 6.755410599894863, 7.166697582676381, 6.959009938855187, 6.114731898483359, 5.707827518496771]","[145615.1075956637, 152229.3029373419, 177147.5459752726, 169212.3611863695, 170140.3394104651, 156357.9722369831, 148584.5062451316, 157556.1856383822, 163157.0881624796, 170757.6606831007, 150995.1212648261, 151333.2042940562]",1827376.517337228,6.612483763770705,20.86046252668061,34.043343831757625,-115.6270981486467
"[89568.76443550273, 95198.19006832181, 139111.468567848, 147374.186351268, 152925.0423124415, 156203.1255467083, 164614.5895273496, 167434.804107595, 162011.6942466474, 145594.3902462359, 113530.7475599331, 92467.4137105059]","[110.6901065801642, 120.5526461563361, 177.8157850966799, 190.1618758921016, 200.9785760553155, 207.1207144250429, 219.9748545060027, 224.4668793383031, 215.0252963460831, 188.711127048181, 143.7662661080689, 113.5427706599798]","[3.570648599360136, 4.305451648440574, 5.735993067634836, 6.338729196403387, 6.483179872752114, 6.904023814168098, 7.095963048580733, 7.240867075429133, 7.167509878202768, 6.087455711231645, 4.792208870268964, 3.662670021289671]","[94037.81346713591, 99899.8445312529, 145694.5893385877, 154417.37988728, 160320.2639002905, 163662.9737069109, 172445.19455003, 175267.7101540105, 169440.6313583192, 152319.4680681915, 118929.0089992621, 97081.31825342044]",1626034.41668036,5.782058400313503,18.56203672009542,37.2502185960856,-121.79684945801822
"[109969.6820444741, 115940.2705961093, 140587.7062155091, 149327.5850236386, 158684.3857088857, 157683.4297953159, 161146.9972280115, 163225.8086617118, 153358.9152263128, 157160.7712095199, 125373.8587345904, 109890.6476035637]","[137.5653053744198, 144.6027824955244, 180.5028740049508, 193.0024703942601, 210.7135402012696, 210.7270432446487, 218.0157262767681, 222.3759983934376, 206.1228985189428, 204.6864521912323, 157.98846171786, 136.1271041342987]","[4.437590495949025, 5.164385089125872, 5.822673354998414, 6.433415679808672, 6.797210974234503, 7.024234774821625, 7.032765363766714, 7.173419303014117, 6.87076328396476, 6.602788780362332, 5.266282057262001, 4.391196907558023]","[115266.8696855677, 121560.2473828414, 147255.9659951522, 156447.8705103072, 166289.3642461977, 165201.8857111334, 168850.2179358474, 170896.1550938724, 160466.8679413674, 164340.9088770189, 131209.9092474455, 115192.4472557137]",1702350.058047645,6.084727172072172,19.43321984072656,35.803214129254684,-120.86922950590991
"[136391.4736108024, 140710.3169045085, 163203.7749374629, 158116.7247080407, 156687.3233908929, 146833.5187454357, 138570.1007486128, 146951.9216928524, 147907.9869443192, 160477.689447203, 138487.852861854, 134195.9283031964]","[173.6224742472587, 178.2083506350484, 213.7200556710287, 209.4878965787798, 214.0376074942938, 204.4053202633811, 195.5728921085453, 207.3243408241691, 205.3055479329356, 211.851339726608, 180.535788409874, 166.4270921574579]","[5.600724975718022, 6.36458395125173, 6.894195344226733, 6.982929885959326, 6.904438951428833, 6.813510675446036, 6.308802971243397, 6.687881962069972, 6.843518264431187, 6.833914184729289, 6.017859613662467, 5.368615876047029]","[142702.7929216774, 147181.0289622018, 170755.3355525977, 165507.5645983874, 164122.5592354012, 153949.2355732211, 145427.7536614063, 154002.0730495177, 154816.3037997151, 167776.4864329879, 144820.499563687, 140289.3290158616]",1768534.612295176,6.468414721351169,20.18875128190846,33.65226154342494,-114.57004285438374
"[127315.7788488357, 119085.4662675686, 144132.3110558304, 140458.8199733847, 144337.6812421306, 136760.7424664677, 149879.9214754127, 158570.6191059114, 147839.9802717894, 149122.3040640183, 136042.469399027, 117897.5117323758]","[161.3471186368504, 151.0788140119118, 185.4706776036282, 183.1910716769347, 188.8632175858122, 181.5829914562201, 201.4807417101837, 211.7143601405819, 196.1047171706352, 194.8343546202142, 175.4989113989824, 147.1193033527281]","[5.204745762479046, 5.395671928996852, 5.982925083988008, 6.106369055897823, 6.092361857606845, 6.052766381874005, 6.499378764844635, 6.829495488405867, 6.536823905687839, 6.284979181297234, 5.849963713299415, 4.74578397912026]","[133258.5906825444, 124759.2417467268, 150985.311652115, 147162.8985981348, 151387.8628416412, 143508.056705626, 157165.2353923552, 166064.6237811568, 154739.7890353471, 156017.7146989084, 142341.9655763453, 123493.1960599411]",1671443.605902751,5.965105425291486,19.08040646007712,33.69136977225821,-117.8274989652757
"[87844.43182134705, 92987.16949823679, 130469.1490208665, 138496.2010712303, 147203.8115671204, 151908.2088893563, 160220.8854217785, 162584.9794598379, 154927.2044190559, 140273.6981038557, 91648.16869189519, 81378.03518532537]","[108.6261778779116, 117.9997945508007, 166.2902088926754, 181.8943684173417, 197.4399391434687, 209.9957138782011, 226.7139416788407, 226.9419932279072, 213.7862148956348, 185.4249606907707, 117.0458717018216, 100.3274365671573]","[3.504070254126181, 4.21427837681431, 5.364200286860497, 6.063145613911389, 6.369030294950602, 6.999857129273371, 7.313352957381957, 7.320709458964749, 7.126207163187826, 5.98145034486357, 3.901529056727386, 3.236368921521204]","[92217.78175890069, 97599.50455401615, 136728.8833108097, 145169.6388312555, 154395.656996064, 159320.2843590206, 167891.3605211872, 170279.1191626236, 162097.8585581928, 146782.7937295924, 96229.44976121219, 85509.56156187812]",1539941.943149906,5.616183321548587,17.57924592636883,40.3006604450805,-121.88313968612132
"[98812.34000468664, 113133.5579136759, 134010.8638049801, 151978.366750734, 146151.2344211746, 155459.9455753444, 158810.0708361576, 154363.793932937, 147048.8220028417, 138677.8906829988, 106293.980199057, 87608.23189401653]","[120.1157345604372, 142.5227233660229, 170.7951932918755, 196.4435357390133, 192.6145336284793, 205.4588204359256, 212.1648711330529, 207.4871646558746, 194.9479340130216, 182.2332278568691, 133.494530908283, 108.07518603453]","[3.874701114852813, 5.090097263072246, 5.509522364254048, 6.548117857967111, 6.213372052531589, 6.848627347864185, 6.844028101066223, 6.69313434373789, 6.498264467100719, 5.878491221189328, 4.449817696942768, 3.486296323694515]","[103604.8159380088, 118510.8708859864, 140394.9626819218, 159144.0657869627, 153285.9030554969, 162895.3645196861, 166423.134869045, 161723.2369120434, 153921.3893655812, 145153.3874379863, 111423.0624726067, 92010.61469773334]",1592349.098018606,5.661205846189453,18.17750111893382,38.1105996304175,-122.27144571258526
