Latitude,Longitude,State,panel.area,power,panels,landscape.area,water,urban,Address,demand_10km_MWh,demand_20km_MWh,demand_50km_MWh
35.0542707,-106.5395255,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"3F36+P5 Kirtland Air Force Base, Albuquerque, NM, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.0546837,-106.5445792,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"3F34+V5 Kirtland Air Force Base, Albuquerque, NM, USA",4974154.736842105,4974154.736842105,4974154.736842105
37.723027,-97.2930445,KS,0.0001406266846412,,1.0,0.0,0.0,1.0,"2220 N Yale Ave, Wichita, KS 67220, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.1051159,-106.5998361,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"4130 Morningside Dr, Albuquerque, NM 87110, USA",4974154.736842105,4974154.736842105,4974154.736842105
46.9928023999998,-97.1608946,ND,0.0001406266846412,,1.0,0.0,0.0,0.0,"15779 29th St SE, Casselton, ND 58012, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3845489999999,-97.728505,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"2926 Read Granberry Trail, Austin, TX 78758, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.0844454,-106.5645021,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"617 Espanola St NE, Albuquerque, NM 87108, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.0705629,-106.5636995,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"501 San Pablo St SE, Albuquerque, NM 87108, USA",4974154.736842105,4974154.736842105,4974154.736842105
39.1026965,-94.5659269,MO,0.0001406266846412,,1.0,0.0,0.0,1.0,"1329 E 9th St, Kansas City, MO 64106, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2765398999999,-97.6321324,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"9025 Sun Shower Bend, Austin, TX 78724, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.0809318,-106.5527842,NM,0.0001406266846412,,1.0,0.0,0.0,1.0,"425 Virginia St NE, Albuquerque, NM 87108, USA",4974154.736842105,4974154.736842105,4974154.736842105
47.5840037999997,-92.2217119,MN,0.0001406266846412,,1.0,0.0,0.0,0.0,"HQMH+J8 Hoyt Lakes, MN, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3787930999999,-97.9082208,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"13608 Country Lake Dr, Austin, TX 78732, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2837179999999,-97.8227618,TX,0.0001406266846412,,1.0,0.0,0.0,0.0,"1101 S Capital of Texas Hwy, Austin, TX 78746, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.4453508999999,-97.6737195,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"15021 Purslane Meadow Trail, Austin, TX 78728, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2146237999999,-97.7978602,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"5601 Menchaca Rd, Austin, TX 78745, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3297473999999,-97.8074169,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"3111 Cavalcade Ct, Austin, TX 78746, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3994306999999,-97.7668475,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"9543 Ketona Cove, Austin, TX 78759, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3998027999999,-97.7755576,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"9221 Hurley Cove, Austin, TX 78759, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3661085999999,-97.7635655,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"7600 Rustling Cove, Austin, TX 78731, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3466646999999,-97.8634402,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"2307 Balboa Rd, Austin, TX 78733, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3496696999999,-97.8008049,TX,0.0001406266846412,,1.0,0.0,0.0,0.0,"5000 Plaza on the Lake # 170, Austin, TX 78746, USA",4974154.736842105,4974154.736842105,4974154.736842105
46.9576980999998,-95.6544481,MN,0.0001406266846412,,1.0,0.0,0.0,0.0,"X85W+36 Rochert, MN, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2920339999999,-97.6445746,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"6004 Perlita Dr, Austin, TX 78724, USA",4974154.736842105,4974154.736842105,4974154.736842105
47.8445553999996,-96.0041842,MN,0.0001406266846412,,1.0,0.0,0.0,0.0,"RXVW+R8 Brooks, MN, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2450658999999,-97.7808791,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"2708 S Lamar Blvd, Austin, TX 78704, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3065657999999,-97.6438263,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"7200 Ellington Cir, Austin, TX 78724, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2593405999999,-97.720567,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"2021 E 5th St., Austin, TX 78702, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.4882808999999,-97.7280022,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"165 Archipelago Trail, Austin, TX 78717, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3809339999999,-97.8950683,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"12909 Medina River Way, Austin, TX 78732, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3914974999999,-97.8962737,TX,0.0001406266846412,,1.0,0.0,0.0,0.0,"13309 Mansfield Dr, Austin, TX 78732, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3908828999999,-97.6999784,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"1606 Holstein Dr, Austin, TX 78758, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3515038999999,-97.6144303,TX,0.0001406266846412,,1.0,0.0,0.0,0.0,"6501 Bramber Ln, Austin, TX 78754, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3626773999999,-97.7838135,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"5311 Backtrail Dr, Austin, TX 78731, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3707968999999,-97.7822156,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"6801 Valburn Dr, Austin, TX 78731, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3287818999999,-97.7551916,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"5006 Westfield Dr, Austin, TX 78731, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2968950999999,-97.7803883,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"3602 Bridle Path, Austin, TX 78703, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2844510999999,-97.6973552,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"1916 E M. Franklin Ave, Austin, TX 78723, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2717089999999,-97.7142128,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"1182 N Pleasant Valley Rd, Austin, TX 78702, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2739188999999,-97.708371,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"1183B Hargrave St, Austin, TX 78702, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2627723999999,-97.7020445,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"910 Cherico St, Austin, TX 78702, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.4397200999999,-97.6753154,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"1621 Gaylord Dr, Austin, TX 78728, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.2662234999999,-97.7003378,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"3309 Thompson St, Austin, TX 78702, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.4875901999999,-97.7898583,TX,0.0001406266846412,,1.0,0.0,0.0,0.0,"11001 Strasburg Ln, Austin, TX 78717, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.1908353999999,-97.783623,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"7003 Skynook Dr, Austin, TX 78745, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.3053407999999,-97.6910922,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"2002 Lazy Brk, Austin, TX 78723, USA",4974154.736842105,4974154.736842105,4974154.736842105
30.1780300999999,-97.7571899,TX,0.0001406266846412,,1.0,0.0,0.0,1.0,"4605 Magin Meadow Dr, Austin, TX 78744, USA",4974154.736842105,4974154.736842105,4974154.736842105
34.9297312,-106.6656231,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"3950 NM-47, Albuquerque, NM 87105, USA",4974154.736842105,4974154.736842105,4974154.736842105
35.7582086,-105.9334457,NM,0.0001406266846412,,1.0,0.0,0.0,0.0,"13 Tesuque Hill Rd, Santa Fe, NM 87506, USA",4974154.736842105,4974154.736842105,4974154.736842105
