,Longitude,Latitude,number of cities,total population,min distance,max distance,name of the nearest city,"coordinates of the nearest city (lat,lng)",distance list,population list,cities name,cities locations,total   population
4449,-122.29301826961104,37.60219265558501,1.0,105087.0,6.7377,6.7377,San Mateo,"(37.5522, -122.3121)",[6.7377],[105087],['San Mateo'],"[(37.5522, -122.3121)]",
4450,-120.43777836539442,34.06289794617425,1.0,142230.0,81.18260000000001,81.18260000000001,Santa Maria,"(34.9333, -120.4431)",[81.18260000000001],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4451,-117.09403202639936,33.35894982717543,1.0,109376.0,19.4925,19.4925,Temecula,"(33.4928, -117.1315)",[19.4925],[109376],['Temecula'],"[(33.4928, -117.1315)]",
4452,-124.4287014151627,40.41798513158031,1.0,121498.0,302.82509999999996,302.82509999999996,Redding,"(40.5698, -122.365)",[302.82509999999996],[121498],['Redding'],"[(40.5698, -122.365)]",
4453,-121.90471224314707,38.07149140158423,1.0,640270.0,77.8235,77.8235,Concord,"(37.9722, -122.0016)",[77.8235],[640270],['Concord'],"[(37.9722, -122.0016)]",
4454,-124.16983073085342,40.96550033524606,1.0,121498.0,233.3711,233.3711,Redding,"(40.5698, -122.365)",[233.3711],[121498],['Redding'],"[(40.5698, -122.365)]",
4455,-121.06338251914188,38.75588540616641,1.0,145687.0,34.6858,34.6858,Roseville,"(38.7703, -121.3196)",[34.6858],[145687],['Roseville'],"[(38.7703, -121.3196)]",
4456,-121.90471224314707,36.95690687983609,1.0,165933.0,15.7476,15.7476,Santa Cruz,"(36.9789, -122.0346)",[15.7476],[165933],['Santa Cruz'],"[(36.9789, -122.0346)]",
4457,-119.07870727277064,33.4567203992586,0.0,,,,,,[],[],[],[],0.0
4458,-121.92628480017288,36.29206698967053,1.0,116189.0,47.7173,47.7173,Seaside,"(36.6224, -121.8199)",[47.7173],[116189],['Seaside'],"[(36.6224, -121.8199)]",
4459,-122.72446941012652,39.01008889358266,1.0,314196.0,95.23830000000001,95.23830000000001,Santa Rosa,"(38.4458, -122.7067)",[95.23830000000001],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
4460,-123.86781493249258,39.73359112699812,1.0,112132.0,356.65040000000005,356.65040000000005,Chico,"(39.7578, -121.8161)",[356.65040000000005],[112132],['Chico'],"[(39.7578, -121.8161)]",
4461,-123.82466981844102,39.61626644049832,1.0,112132.0,331.8135,331.8135,Chico,"(39.7578, -121.8161)",[331.8135],[112132],['Chico'],"[(39.7578, -121.8161)]",
4462,-123.78152470438948,38.95142655033276,1.0,314196.0,144.29410000000001,144.29410000000001,Santa Rosa,"(38.4458, -122.7067)",[144.29410000000001],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
4463,-118.02165197850768,33.65226154342494,1.0,198735.0,5.1672,5.1672,Huntington Beach,"(33.696, -118.0018)",[5.1672],[198735],['Huntington Beach'],"[(33.696, -118.0018)]",
4464,-122.1420103704306,37.50442208350184,2.0,166314.0,11.2458,14.7522,Redwood City,"(37.5025, -122.2253)","[11.2458, 14.7522]","[83905, 82409]","['Redwood City', 'Mountain View']","[(37.5025, -122.2253), (37.4001, -122.0796)]",
4465,-122.1420103704306,39.44027941074861,1.0,112132.0,81.5438,81.5438,Chico,"(39.7578, -121.8161)",[81.5438],[112132],['Chico'],"[(39.7578, -121.8161)]",
4466,-124.14825817382764,40.08556518649753,1.0,121498.0,387.55859999999996,387.55859999999996,Redding,"(40.5698, -122.365)",[387.55859999999996],[121498],['Redding'],"[(40.5698, -122.365)]",
4467,-124.25612095895652,40.76995919107972,1.0,121498.0,274.7338,274.7338,Redding,"(40.5698, -122.365)",[274.7338],[121498],['Redding'],"[(40.5698, -122.365)]",
4468,-120.91237461996144,35.2948071544222,1.0,142230.0,71.0929,71.0929,Santa Maria,"(34.9333, -120.4431)",[71.0929],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4469,-119.87689188272428,33.945573259674454,1.0,198240.0,14.6942,14.6942,Santa Barbara,"(34.4285, -119.7202)",[14.6942],[198240],['Santa Barbara'],"[(34.4285, -119.7202)]",
4470,-123.0049126514616,37.758625570918085,1.0,3290197.0,94.0187,94.0187,San Francisco,"(37.7558, -122.4449)",[94.0187],[3290197],['San Francisco'],"[(37.7558, -122.4449)]",
4471,-120.89080206293568,35.236144811172295,1.0,142230.0,76.75,76.75,Santa Maria,"(34.9333, -120.4431)",[76.75],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4472,-120.50249603647174,34.102006175007524,1.0,142230.0,81.17110000000001,81.17110000000001,Santa Maria,"(34.9333, -120.4431)",[81.17110000000001],[142230],['Santa Maria'],"[(34.9333, -120.4431)]",
4473,-122.87547730930694,37.99327494391769,1.0,115677.0,66.14989999999999,66.14989999999999,Richmond,"(37.9477, -122.3389)",[66.14989999999999],[115677],['Richmond'],"[(37.9477, -122.3389)]",
4474,-122.07729269935328,39.94868638558109,1.0,112132.0,40.9944,40.9944,Chico,"(39.7578, -121.8161)",[40.9944],[112132],['Chico'],"[(39.7578, -121.8161)]",
4475,-123.54422657710596,38.71677717733315,1.0,314196.0,108.765,108.765,Santa Rosa,"(38.4458, -122.7067)",[108.765],[314196],['Santa Rosa'],"[(38.4458, -122.7067)]",
4476,-119.20814261492526,34.141114403840795,1.0,366330.0,8.0609,8.0609,Oxnard,"(34.1964, -119.1815)",[8.0609],[366330],['Oxnard'],"[(34.1964, -119.1815)]",
4477,-115.95068650403331,33.47627451367524,1.0,361831.0,45.7044,45.7044,Indio,"(33.7346, -116.2346)",[45.7044],[361831],['Indio'],"[(33.7346, -116.2346)]",
4478,-122.1635829274564,37.48486796908521,2.0,166314.0,8.0561,15.8102,Redwood City,"(37.5025, -122.2253)","[8.0561, 15.8102]","[83905, 82409]","['Redwood City', 'Mountain View']","[(37.5025, -122.2253), (37.4001, -122.0796)]",
4479,-122.03414758530174,36.58537870592004,1.0,116189.0,20.4425,20.4425,Seaside,"(36.6224, -121.8199)",[20.4425],[116189],['Seaside'],"[(36.6224, -121.8199)]",
4480,-118.755118917384,34.51264257775684,1.0,127158.0,65.5843,65.5843,Simi Valley,"(34.2663, -118.749)",[65.5843],[127158],['Simi Valley'],"[(34.2663, -118.749)]",
4481,-118.10794220661076,33.71092388667484,1.0,198735.0,11.8975,11.8975,Huntington Beach,"(33.696, -118.0018)",[11.8975],[198735],['Huntington Beach'],"[(33.696, -118.0018)]",
4482,-122.05572014232752,36.91779865100282,1.0,165933.0,4.870100000000001,4.870100000000001,Santa Cruz,"(36.9789, -122.0346)",[4.870100000000001],[165933],['Santa Cruz'],"[(36.9789, -122.0346)]",
4483,-118.47467567604892,32.98742165325939,0.0,,,,,,[],[],[],[],0.0
4484,-122.37930849771412,37.758625570918085,1.0,3290197.0,7.7681000000000004,7.7681000000000004,San Francisco,"(37.7558, -122.4449)",[7.7681000000000004],[3290197],['San Francisco'],"[(37.7558, -122.4449)]",
4485,-122.24987315555948,38.07149140158423,1.0,181882.0,10.058200000000001,10.058200000000001,Vallejo,"(38.1125, -122.2342)",[10.058200000000001],[181882],['Vallejo'],"[(38.1125, -122.2342)]",
